<number of tasks>
28
<cycle time>
324
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 70 151.7523
2 59 193.0883
3 33 11.9914
4 6 1.6646
5 1 0.0343
6 27 20.7093
7 17 10.6312
8 62 153.5328
9 31 46.3991
10 53 49.8695
11 21 23.5445
12 19 13.2971
13 108 493.3639
14 52 107.5958
15 5 1.0953
16 8 1.6383
17 97 35.7585
18 8 2.1258
19 47 66.2125
20 67 131.1897
21 17 0.2501
22 8 2.8899
23 3 0.4773
24 21 0.7487
25 107 131.6472
26 3 0.0984
27 2 0.0491
28 72 314.2804
<precedence relations>
1,3
1,4
1,5
1,8
1,19
1,21
1,22
1,23
1,24
1,26
2,6
2,17
3,28
4,28
5,28
6,7
7,18
8,9
9,10
10,11
10,12
11,15
12,13
13,14
13,16
14,28
15,28
16,28
17,28
18,28
19,20
20,28
21,28
22,28
23,28
24,25
25,28
26,27
27,28
<end>
