<number of tasks>
297
<cycle time>
1991
<order strength>
0.000
<z_alpha>
1.280
<task times>
1 270 2788.0982
2 270 8285.9192
3 130 819.9161
4 148 4008.0536
5 190 3934.2458
6 293 7205.1985
7 348 8726.5593
8 182 699.1100
9 490 5265.8752
10 212 816.8712
11 248 10253.7953
12 248 9259.0971
13 248 4577.0930
14 248 7419.2550
15 248 12609.8286
16 268 2319.0618
17 268 8731.8382
18 268 1319.8794
19 288 5063.4461
20 248 7332.1821
21 268 5953.7320
22 60 746.7120
23 268 7412.3064
24 240 11291.8868
25 240 9432.4031
26 171 1919.3821
27 490 30922.2224
28 182 7882.0952
29 170 4953.5327
30 306 14008.6706
31 108 424.3135
32 248 12537.1890
33 190 7713.7917
34 240 3718.1370
35 339 4409.3083
36 288 17701.0283
37 248 10335.8041
38 455 40412.8209
39 268 11034.7374
40 270 12115.6927
41 180 2549.6335
42 121 942.4555
43 270 15493.4434
44 440 31868.7819
45 249 11003.5470
46 194 3909.5608
47 162 1350.6779
48 130 1527.9798
49 388 32936.2527
50 90 414.9874
51 212 2664.7330
52 246 4669.9865
53 188 2704.2076
54 270 11462.6721
55 160 3585.4622
56 79 495.0312
57 466 14833.0426
58 240 7524.6178
59 137 2013.8588
60 184 5616.9102
61 110 2566.8440
62 275 15625.5281
63 149 4680.2983
64 280 4506.2602
65 119 3415.1050
66 184 4283.7346
67 140 3476.8778
68 150 4321.0015
69 190 6319.8862
70 150 4165.6396
71 150 3933.2084
72 284 6795.1940
73 192 2458.6701
74 347 20998.9861
75 232 6583.9951
76 140 2849.9364
77 608 36065.5633
78 80 554.8448
79 40 301.8038
80 130 1399.4226
81 110 11.4205
82 350 19887.7803
83 140 2515.6259
84 240 5916.2444
85 240 13790.6880
86 90 969.0136
87 54 148.2809
88 294 12093.7122
89 203 384.0976
90 150 2895.6227
91 270 12934.9361
92 155 4213.5133
93 190 8535.7031
94 78 745.0898
95 140 1123.3965
96 241 13589.6517
97 430 9751.9834
98 90 1150.5781
99 110 94.2344
100 9 19.3016
101 430 38431.4925
102 130 1605.3220
103 289 18195.5261
104 110 709.0236
105 160 4431.0663
106 442 18055.9156
107 159 2883.7490
108 250 6746.2310
109 190 3223.8604
110 184 2910.4991
111 690 42706.3286
112 72 957.8306
113 190 4412.5119
114 190 3492.2238
115 90 856.8137
116 889 75196.5596
117 170 1241.0068
118 155 2767.9664
119 190 1791.5939
120 130 1663.4051
121 390 24466.2728
122 301 5669.2766
123 54 468.9037
124 227 10654.3424
125 142 1312.5236
126 184 365.1243
127 741 10349.6419
128 868 178034.6663
129 230 12812.9315
130 121 3272.6358
131 320 16596.7663
132 126 2529.5001
133 440 45314.9952
134 127 395.2727
135 134 367.9606
136 150 5293.6056
137 140 3600.8860
138 110 1197.3533
139 320 3532.8250
140 250 12073.9012
141 232 9114.6630
142 188 3756.1729
143 250 5742.0447
144 377 22386.0366
145 90 1137.6319
146 140 1199.3856
147 90 1747.2041
148 90 1458.5698
149 70 730.3525
150 90 547.8961
151 110 127.2539
152 150 1547.3907
153 101 2133.6824
154 377 26343.2075
155 118 3212.4194
156 290 7381.5282
157 209 6586.1029
158 150 374.0616
159 150 2731.0686
160 79 1426.3795
161 150 923.8693
162 91 2066.0962
163 59 489.0763
164 218 3135.9363
165 351 11628.4148
166 873 57727.8262
167 130 1315.5100
168 68 840.5714
169 126 3163.9509
170 120 2983.2506
171 227 9444.9428
172 198 2359.8315
173 132 940.4738
174 121 1530.2794
175 150 5263.8873
176 100 2183.7133
177 38 32.5816
178 70 330.9560
179 355 6558.9770
180 284 5476.0856
181 122 3198.3146
182 75 222.4886
183 160 5056.6090
184 140 774.7856
185 520 31667.3138
186 99 1124.4585
187 182 1795.4035
188 80 705.9222
189 514 3499.5612
190 96 1152.8988
191 50 518.6599
192 272 2476.7816
193 226 9489.5908
194 194 3720.8734
195 164 71.0565
196 96 69.5950
197 107 2087.3037
198 108 1140.5121
199 167 4385.7954
200 98 101.3486
201 82 1645.6970
202 482 42113.5331
203 72 676.6483
204 50 422.0746
205 130 3739.7727
206 230 11243.7725
207 50 536.3746
208 240 8562.7484
209 190 4823.3639
210 190 8714.0771
211 240 896.5335
212 74 956.3794
213 139 4098.8657
214 339 13813.0240
215 260 15293.1479
216 132 2804.9579
217 550 52784.1259
218 420 39570.0290
219 152 3788.2852
220 12 15.5597
221 90 1788.6307
222 5 1.1705
223 128 81.0990
224 100 270.7287
225 120 2823.2883
226 100 1285.0413
227 320 17171.7907
228 835 35875.7638
229 740 16796.5022
230 223 11953.1772
231 100 562.4126
232 390 30876.6191
233 140 2250.4901
234 304 13760.6094
235 120 3168.0772
236 403 27853.9659
237 21 37.7248
238 246 14469.6877
239 160 931.2526
240 1019 220334.8283
241 34 192.7614
242 120 2190.4817
243 68 768.9883
244 910 190278.4148
245 302 21517.3738
246 778 71278.8579
247 101 1627.3220
248 1310 55908.9295
249 20 38.1132
250 278 12640.8184
251 81 152.3621
252 290 5681.7181
253 100 2158.8497
254 372 12568.1805
255 72 409.1243
256 28 71.9083
257 90 1907.1433
258 250 5189.1547
259 144 389.3635
260 303 20589.4740
261 220 2460.7211
262 58 23.1031
263 224 1110.4302
264 211 5903.3284
265 99 1942.5033
266 44 181.2741
267 120 2715.7858
268 70 980.6138
269 421 17427.9098
270 231 4416.4568
271 214 11247.5895
272 196 1422.9639
273 280 1062.1795
274 398 9129.5245
275 72 1203.6939
276 280 7676.2004
277 356 2214.7469
278 193 8138.3335
279 140 4287.6785
280 130 1165.0140
281 300 13714.8005
282 456 12613.5321
283 7 2.8462
284 170 6189.2272
285 252 15213.5784
286 210 3202.7713
287 308 22431.8548
288 308 23686.0793
289 121 3535.2084
290 52 475.9624
291 426 19809.6042
292 104 1489.7226
293 1386 83184.0817
294 527 36863.3482
295 968 38616.1913
296 1047 26220.1611
297 538 5914.6750
<precedence relations>
1,2
2,3
3,4
4,5
4,22
4,26
4,27
4,40
4,48
4,56
4,83
4,86
4,94
4,105
4,109
4,111
4,134
4,221
4,247
4,259
5,6
6,7
6,8
6,9
6,10
7,11
7,12
7,13
7,14
7,15
7,20
8,11
8,12
8,13
8,14
8,15
8,20
9,11
9,12
9,13
9,14
9,15
9,20
10,11
10,12
10,13
10,14
10,15
10,20
11,16
12,17
13,18
14,19
15,21
16,23
17,23
18,23
19,23
20,23
21,23
22,24
22,25
23,28
24,29
25,29
26,30
27,31
28,32
28,37
29,33
29,44
29,121
30,34
30,297
31,34
31,82
31,172
31,179
32,36
33,38
34,35
35,42
36,39
37,39
38,41
39,43
40,44
40,84
40,97
41,45
42,46
43,47
44,49
45,50
46,51
46,138
47,52
48,52
49,53
50,54
51,55
51,81
52,57
53,58
54,58
54,296
55,59
56,60
56,61
57,62
57,63
57,71
57,76
58,64
59,64
59,99
59,100
60,68
61,65
62,66
63,67
64,72
65,69
66,69
67,70
68,73
69,74
70,75
71,77
72,78
73,84
73,97
74,84
74,97
75,84
75,97
76,84
76,97
77,84
77,97
78,79
78,80
78,125
78,192
79,85
80,85
81,87
82,88
82,89
83,90
84,91
85,92
86,93
87,99
87,100
88,99
88,100
89,99
89,100
90,95
91,96
92,98
93,98
94,101
95,101
96,101
97,101
98,102
99,103
100,104
101,106
102,107
103,108
104,108
105,110
106,112
107,113
108,114
108,115
108,292
109,119
109,120
110,119
110,120
110,162
111,116
112,117
113,118
114,119
115,120
116,122
117,123
117,124
117,257
118,126
119,127
120,127
120,150
121,128
122,129
123,130
123,145
123,146
123,147
123,148
123,149
124,130
125,130
126,130
127,130
127,157
128,130
129,130
129,141
130,131
130,144
131,132
131,133
132,135
133,135
133,170
134,136
135,137
136,139
137,140
138,140
138,191
139,142
139,253
140,143
140,200
141,151
142,152
143,153
143,169
144,154
145,155
146,156
147,158
148,159
149,160
150,161
151,163
152,164
153,165
154,166
155,166
156,166
157,166
158,166
159,166
160,166
161,166
162,167
163,166
164,167
165,168
165,176
166,170
167,171
