<number of tasks>
148
<cycle time>
705
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 49.1779
2 30 51.3195
3 7 8.2227
4 47 531.1228
5 29 144.5294
6 8 9.6289
7 39 238.0131
8 37 120.6216
9 32 224.9857
10 29 198.6484
11 17 52.4596
12 11 3.4046
13 32 188.6490
14 15 49.3790
15 53 331.4549
16 53 1.3142
17 8 8.5983
18 24 10.1731
19 24 96.5012
20 8 12.0457
21 7 9.8957
22 8 7.5805
23 14 18.4616
24 13 0.9776
25 10 6.4832
26 25 116.2174
27 11 15.9634
28 25 38.5313
29 11 2.9836
30 29 146.9669
31 25 33.4634
32 10 24.9262
33 14 6.1169
34 41 139.2982
35 42 86.3217
36 47 123.8654
37 7 3.7085
38 80 1062.4348
39 7 5.7839
40 41 4.4149
41 47 337.9350
42 16 22.7103
43 32 213.2687
44 66 687.2800
45 80 560.9061
46 7 9.1704
47 41 96.2211
48 13 13.8318
49 47 471.2602
50 33 58.5052
51 34 25.4709
52 11 17.0922
53 118 1375.0368
54 25 100.8567
55 7 8.6574
56 28 133.3436
57 12 32.4387
58 52 296.1352
59 14 22.1323
60 3 0.8128
61 3 2.1889
62 8 6.8585
63 16 23.7149
64 33 11.3002
65 8 2.5612
66 18 40.1404
67 10 6.3203
68 14 46.8687
69 28 117.6351
70 11 1.9372
71 118 1837.8574
72 25 122.4541
73 40 64.0112
74 40 395.4816
75 101 1801.9676
76 5 1.5823
77 28 142.3722
78 8 4.2915
79 281 5022.9964
80 7 6.8062
81 26 144.4800
82 10 24.8107
83 21 85.0877
84 26 93.3633
85 20 80.9112
86 21 36.2623
87 47 544.7545
88 23 89.1701
89 13 6.2903
90 19 27.9574
91 115 1.7921
92 35 12.6734
93 26 54.1515
94 46 513.9921
95 20 31.1797
96 31 170.1290
97 19 33.5869
98 34 203.1726
99 51 6.7583
100 39 374.4127
101 30 55.3995
102 26 141.1173
103 13 25.0760
104 45 51.0984
105 58 836.4804
106 28 84.0736
107 8 4.0429
108 383 14425.8715
109 40 102.2874
110 34 37.6207
111 23 0.7181
112 162 5658.4023
113 11 6.3990
114 19 14.5858
115 14 23.4510
116 31 96.2781
117 32 35.1437
118 26 32.3373
119 55 165.5463
120 31 176.2742
121 32 212.5329
122 26 165.5492
123 19 60.3629
124 14 29.3289
125 19 12.6067
126 48 292.7677
127 55 737.9193
128 8 14.0372
129 11 29.6414
130 27 135.7115
131 18 36.2199
132 36 260.3111
133 23 24.2134
134 20 61.1502
135 46 402.9470
136 64 152.2559
137 22 31.5377
138 15 42.5176
139 34 214.1156
140 22 88.3164
141 151 2062.1241
142 148 4394.5300
143 64 629.0917
144 170 6215.6338
145 137 425.1196
146 64 595.3494
147 78 50.4337
148 78 1203.1568
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
