<number of tasks>
1000
<cycle time>
1000
<order strength>
0.596
<z_alpha>
1.280
<task times>
1 602 1372.3922
2 556 155.6359
3 550 9250.3605
4 407 5452.4109
5 826 5574.7889
6 492 2708.6512
7 416 8615.4505
8 470 10777.3548
9 546 7974.0432
10 539 6814.8917
11 639 20551.7060
12 661 22623.8047
13 588 117.5213
14 425 7400.1561
15 300 765.4124
16 664 16632.9395
17 476 6186.5928
18 541 15985.6446
19 405 1508.7951
20 549 7519.0696
21 496 11015.9005
22 683 11446.4943
23 616 7741.5462
24 482 7280.9192
25 478 9398.3834
26 505 1111.4104
27 393 1081.5924
28 601 18584.4589
29 578 19438.2311
30 552 6836.2720
31 586 16205.7534
32 377 581.1232
33 323 864.3572
34 395 5728.8291
35 629 17178.8368
36 475 9572.3206
37 722 8377.1850
38 574 12549.0386
39 515 11850.6876
40 678 16658.1359
41 622 15110.2439
42 563 7363.3177
43 605 17479.0583
44 662 13111.2378
45 614 7926.3034
46 332 2131.9617
47 552 17901.7599
48 446 5359.2577
49 391 9175.6872
50 612 19481.5354
51 323 466.1744
52 793 1226.2661
53 501 8788.6754
54 392 8116.2047
55 489 13722.1899
56 496 9851.9342
57 574 5485.1356
58 454 8333.0167
59 499 13849.8905
60 384 7412.2272
61 352 3034.3394
62 559 9403.7788
63 343 1328.9900
64 450 627.8230
65 785 7517.6619
66 646 6459.1996
67 590 16943.1802
68 303 2636.0375
69 601 16523.2243
70 379 2965.4137
71 510 5316.3734
72 671 13528.3771
73 666 25386.9684
74 466 3223.1023
75 592 558.6641
76 398 7369.0137
77 361 8049.8001
78 340 5220.5690
79 609 16560.7906
80 636 20211.8889
81 628 5792.5908
82 597 5001.1371
83 394 3140.5405
84 314 3043.3741
85 508 14647.4841
86 430 9134.8543
87 647 23622.8140
88 460 8823.3917
89 391 4572.7732
90 487 12676.8143
91 547 128.0574
92 346 2542.4148
93 719 10640.7228
94 614 5104.7296
95 323 3851.5239
96 572 18080.2389
97 595 6782.4439
98 586 19245.9783
99 342 6254.7924
100 501 11688.4283
101 325 3589.6252
102 341 3158.8695
103 532 11419.2937
104 518 13469.5505
105 424 1765.9101
106 434 2469.4780
107 354 7128.1364
108 545 14727.4552
109 695 17071.7894
110 374 5808.5677
111 690 5011.2007
112 428 4856.5360
113 400 6833.8558
114 660 7905.3507
115 454 324.3457
116 390 1220.6228
117 737 6596.2268
118 418 6383.3934
119 646 18462.0778
120 429 5536.2892
121 630 21761.6277
122 464 3332.0059
123 369 3326.4030
124 277 970.0235
125 389 6274.6376
126 375 8763.9043
127 552 13057.3895
128 619 1839.9624
129 487 1465.0985
130 631 14496.3035
131 335 5999.2357
132 507 3090.3720
133 376 8208.3963
134 532 10701.0182
135 390 7884.3559
136 395 6050.9004
137 607 12588.7108
138 467 6644.5004
139 654 17227.1394
140 158 1392.3961
141 681 11367.5482
142 480 4781.2994
143 615 14752.0331
144 523 8131.1690
145 679 4389.6730
146 397 5011.8748
147 538 15563.5005
148 758 10949.7085
149 466 2347.2087
150 612 11274.4937
151 566 8458.2156
152 517 2668.6977
153 465 5450.9391
154 520 9084.5402
155 381 8244.6241
156 566 6091.5737
157 547 3784.2817
158 293 1412.5272
159 409 2203.1660
160 501 9401.6786
161 513 4561.8811
162 532 7082.8193
163 242 639.7810
164 363 2715.3608
165 645 23580.6535
166 344 7037.9059
167 476 9.6087
168 346 3186.0222
169 229 2434.8540
170 447 1446.1573
171 429 2014.2241
172 294 2437.1640
173 364 3809.1662
174 479 12620.4722
175 622 10358.3031
176 631 10262.2001
177 497 8958.3735
178 456 6150.6356
179 509 13316.3197
180 367 7433.9941
181 595 12686.4273
182 460 619.2250
183 335 3268.7408
184 540 1458.5077
185 329 5072.8482
186 415 76.0904
187 386 3273.2104
188 230 3266.6550
189 450 7524.3083
190 408 8910.4039
191 532 1495.0940
192 193 683.2575
193 489 13490.4455
194 385 821.7554
195 656 12479.6929
196 416 8151.3592
197 490 2521.6799
198 545 1849.7894
199 462 6296.1243
200 730 9511.3202
201 300 5357.0544
202 262 3350.9151
203 315 1110.8466
204 516 2388.3797
205 455 8652.3811
206 464 11248.2521
207 472 11963.6267
208 306 750.3963
209 636 22505.1388
210 476 4415.5453
211 641 18324.9725
212 530 16491.6794
213 441 2638.9747
214 138 224.5917
215 616 15669.3559
216 548 17368.9398
217 416 897.1946
218 606 10521.2690
219 510 6287.8350
220 483 12589.4303
221 469 11771.0988
222 494 5888.2231
223 386 4959.7247
224 645 1780.1329
225 324 5435.5499
226 656 22679.5751
227 486 7304.0562
228 445 6466.4926
229 476 10307.2662
230 536 10422.3063
231 467 9984.0909
232 499 2871.3587
233 608 2562.2026
234 624 9098.6665
235 591 20610.1710
236 545 2351.5393
237 696 22313.5443
238 599 10894.2201
239 270 1904.5611
240 416 7440.1231
241 499 2513.4823
242 426 1599.0816
243 279 2395.0992
244 551 14881.8247
245 633 18259.9615
246 368 1244.5142
247 597 213.9880
248 304 4307.0530
249 424 9878.9601
250 607 12449.3327
251 599 20987.4812
252 514 718.6086
253 365 5150.7509
254 369 5017.4777
255 505 12135.9836
256 622 10352.9436
257 629 15020.9845
258 615 15985.5437
259 489 5856.0329
260 554 13433.9252
261 616 3694.1066
262 518 2650.2373
263 480 11564.7957
264 533 1864.1952
265 344 971.1347
266 400 897.8084
267 492 7192.0483
268 549 16863.3306
269 338 2608.1148
270 506 7148.2872
271 566 17095.8396
272 346 1247.4879
273 410 8976.4763
274 455 1482.2596
275 484 5525.5135
276 713 8129.2718
277 278 1523.5009
278 373 7431.6867
279 648 6707.5580
280 361 6004.6821
281 611 8745.3074
282 333 5514.9583
283 559 4396.4318
284 440 10235.8390
285 500 643.8650
286 599 22248.0129
287 487 149.0993
288 391 595.8600
289 535 14629.8487
290 457 4750.2762
291 668 6812.4380
292 399 5367.4643
293 501 10445.0311
294 634 9049.8067
295 517 493.0038
296 638 19285.7165
297 295 3508.6340
298 546 3029.8088
299 360 2342.9865
300 381 6846.5209
301 524 5409.3621
302 558 11477.0401
303 441 4582.2969
304 457 11272.5125
305 373 3064.4877
306 327 337.4247
307 612 37.4959
308 391 6818.0986
309 260 1191.4055
310 589 4792.6067
311 316 740.8404
312 666 11618.9405
313 389 1480.8131
314 500 3503.0685
315 407 611.1750
316 356 4339.6841
317 432 7596.0754
318 365 2873.7268
319 531 2304.6183
320 449 9704.6541
321 815 437.8598
322 365 2647.4592
323 479 4527.4541
324 447 8756.3632
325 452 9006.7661
326 494 13282.0436
327 394 2122.8934
328 168 1061.9451
329 686 20677.1500
330 486 7044.4716
331 542 15812.5704
332 658 24905.7286
333 423 7354.2420
334 711 1448.7592
335 526 10458.6885
336 592 19411.5939
337 613 6062.4867
338 562 10155.8986
339 334 3144.4518
340 511 1471.5259
341 447 1837.8836
342 704 13584.1352
343 762 11190.7278
344 506 7089.9589
345 475 13055.1193
346 478 2156.5239
347 451 7790.8280
348 536 5925.9064
349 689 6384.4994
350 566 12271.4554
351 557 3358.5425
352 539 5537.0949
353 622 17530.0203
354 680 17111.7907
355 565 19213.1174
356 609 1265.9538
357 569 12620.1734
358 529 6932.8246
359 625 5603.6493
360 492 7933.8985
361 352 2866.3680
362 726 14141.1639
363 416 9010.6070
364 564 17989.8010
365 498 9254.5090
366 497 6261.7575
367 739 6884.4021
368 391 5098.9290
369 317 2308.1947
370 758 4203.4985
371 566 19658.6256
372 468 459.2089
373 499 14613.6321
374 544 16759.8330
375 477 4746.5797
376 572 16280.4762
377 544 6502.6649
378 482 2578.8396
379 654 23303.0121
