<number of tasks>
1000
<cycle time>
1000
<order strength>
0.195
<z_alpha>
1.645
<task times>
1 307 15335.4944
2 306 16854.1856
3 515 20964.9802
4 47 319.0601
5 344 1032.3185
6 312 14954.1887
7 475 31219.1887
8 73 315.0768
9 358 3386.9863
10 466 7414.2330
11 74 626.5714
12 100 1984.7683
13 133 3296.0787
14 146 723.6251
15 47 164.7446
16 77 383.1889
17 550 17150.1645
18 84 1660.6594
19 516 47770.9077
20 153 3655.4052
21 159 6031.1191
22 455 24609.8875
23 77 1268.2242
24 241 6766.5082
25 81 591.1966
26 282 993.6757
27 156 939.2946
28 55 577.7812
29 479 31913.5370
30 232 1234.1066
31 26 70.8569
32 497 21572.8921
33 202 2992.6429
34 208 4798.5554
35 373 14979.1508
36 558 7570.4018
37 34 214.9947
38 326 15701.0053
39 199 3680.7331
40 51 482.4497
41 152 963.4610
42 202 3229.3566
43 499 54620.4352
44 539 47067.9831
45 34 79.1905
46 187 1695.6496
47 31 68.1562
48 184 3201.4341
49 65 117.9634
50 224 5012.1386
51 89 557.0469
52 106 577.2027
53 556 19666.3531
54 39 281.1208
55 536 12406.4739
56 517 59160.7257
57 186 5871.9634
58 68 1085.2279
59 63 528.1608
60 213 1733.6415
61 445 13416.2014
62 257 13473.2263
63 211 5993.0031
64 45 362.1723
65 165 798.4630
66 290 55.5011
67 169 7097.9069
68 177 3377.4842
69 72 257.2754
70 54 517.0584
71 60 667.5565
72 345 1223.3453
73 104 34.3092
74 295 12233.2758
75 566 45910.1022
76 28 33.1885
77 88 1831.0684
78 59 396.7675
79 105 1489.2618
80 362 32676.0948
81 140 2848.3713
82 122 1646.7840
83 37 110.0105
84 237 7593.1388
85 308 18636.3561
86 616 37639.8057
87 305 4306.5130
88 102 1599.7398
89 75 832.8802
90 80 158.6682
91 174 6246.3853
92 191 7208.5410
93 84 641.9063
94 105 367.5412
95 94 100.9362
96 53 359.2942
97 452 5293.8738
98 215 1931.4555
99 73 1269.6428
100 473 30086.9015
101 448 4191.8167
102 495 26185.0531
103 559 36456.4851
104 374 7761.1907
105 174 760.6797
106 168 2082.8041
107 128 3634.5167
108 188 4084.0884
109 569 25627.6243
110 346 23837.4890
111 194 6918.9541
112 263 16157.6745
113 335 25420.5660
114 324 346.1275
115 99 363.5598
116 424 16643.9090
117 118 3476.3641
118 548 39796.0613
119 429 41549.8027
120 420 39764.1931
121 338 23326.4623
122 74 341.1894
123 127 3130.1472
124 312 4119.0818
125 277 5008.0632
126 192 8661.3588
127 295 8474.9357
128 244 10615.5184
129 360 13893.0947
130 112 936.0386
131 505 55485.3252
132 66 966.9366
133 137 1593.8877
134 137 3834.8923
135 337 22334.7544
136 134 917.0985
137 522 39531.5969
138 248 8947.8972
139 300 21532.4165
140 542 29804.2594
141 140 2985.6089
142 352 26326.3451
143 81 820.2116
144 31 26.6091
145 151 1085.2812
146 229 1124.5079
147 320 2944.8372
148 121 2241.6294
149 255 10873.9820
150 210 2142.5860
151 62 203.9843
152 538 32287.9961
153 231 2798.8804
154 156 3133.2931
155 274 13140.0251
156 36 202.0467
157 162 1092.9491
158 238 1066.5504
159 24 140.8066
160 323 875.8174
161 54 72.2077
162 106 2689.3271
163 188 335.4839
164 88 614.4895
165 48 183.5776
166 186 7321.8138
167 561 35555.8437
168 97 752.7375
169 150 1663.8962
170 473 40540.9987
171 111 616.1540
172 91 894.5979
173 103 2544.1244
174 123 323.5006
175 88 47.0623
176 224 1313.8357
177 71 628.2256
178 121 754.2320
179 192 9163.5068
180 239 12706.5629
181 100 548.0042
182 56 764.6106
183 52 480.3774
184 94 1051.3778
185 354 29127.4821
186 56 405.3964
187 234 6827.7371
188 135 1261.3684
189 330 5094.4776
190 82 1493.4840
191 170 2674.5270
192 135 3627.5896
193 139 1552.6804
194 573 32802.6162
195 390 23172.0543
196 513 53939.8980
197 190 7175.7255
198 225 8643.5424
199 60 840.0108
200 69 812.2135
201 241 13045.0836
202 121 497.2790
203 85 1326.8016
204 138 3343.7171
205 205 9293.9440
206 238 8421.1653
207 105 772.8794
208 167 2784.3668
209 42 79.4569
210 74 69.4536
211 271 1390.3364
212 473 14268.0383
213 396 77.5717
214 569 8399.5699
215 401 37666.3859
216 75 899.4973
217 41 197.2641
218 464 41996.0284
219 421 39440.4796
220 134 2835.4943
221 243 12602.1964
222 72 724.0193
223 132 3241.4150
224 45 273.3746
225 168 4804.9094
226 30 186.6533
227 93 1611.7844
228 464 13927.7005
229 91 1379.7436
230 179 7644.2951
231 216 9473.6840
232 547 18921.7590
233 101 1889.7247
234 370 24701.9922
235 546 48833.1391
236 165 4357.1920
237 242 7438.9264
238 228 3006.5153
239 235 4819.7596
240 458 28731.7625
241 176 1966.2364
242 96 1840.9348
243 119 3241.4508
244 72 778.4233
245 21 22.5539
246 182 1102.6472
247 353 18903.0533
248 269 17239.9094
249 163 335.8867
250 445 25386.0580
251 480 10995.8046
252 343 3914.1970
253 189 5140.8400
254 477 53833.5420
255 394 13317.8657
256 557 5105.6927
257 369 25521.4696
258 456 35300.3507
259 227 8324.0117
260 216 9191.2474
261 480 38660.2370
262 156 866.5953
263 285 9123.1057
264 99 1019.8477
265 368 33466.1971
266 239 5705.3572
267 284 18185.0299
268 205 2187.0675
269 589 12249.2896
270 164 2419.1091
271 269 11613.7492
272 494 59854.1506
273 92 1878.1613
274 577 38356.7606
275 99 2017.0044
276 235 6203.2970
277 544 17106.8934
278 37 125.7761
279 455 41672.5195
280 120 3540.2114
281 198 4154.0324
282 141 3820.4973
283 146 4217.7008
284 23 109.0050
285 91 1434.0653
286 178 291.7967
287 283 12376.5526
288 78 1000.6723
289 353 22096.4689
290 157 3681.4270
291 120 2618.3417
292 124 1605.7311
293 117 611.0936
294 239 4176.0704
295 150 4667.1911
296 490 8654.6270
297 377 20635.5134
298 390 3473.8367
299 195 7590.7519
300 520 1451.6534
301 36 299.7132
302 210 10218.8787
303 145 336.6861
304 214 9313.7640
305 427 8611.9807
306 186 4434.6195
307 250 2401.0811
308 188 2471.0218
309 459 9897.7185
310 99 1715.4331
311 103 68.2518
312 54 489.3247
313 146 595.7703
314 75 972.0809
315 29 124.8569
316 61 896.2982
317 379 10394.4843
318 194 5090.3235
319 271 4980.3253
320 243 6973.5809
321 580 18147.5868
322 54 515.6298
323 198 4403.7258
324 81 1157.7721
325 42 21.9804
326 108 2516.9256
327 435 21561.7537
328 419 42202.1463
329 310 15314.1384
330 107 1497.0960
331 39 206.1884
332 204 7454.8816
333 134 1332.9917
334 92 944.4938
335 532 3818.5621
336 82 699.8039
337 526 28084.8025
338 249 7529.7671
339 29 175.2982
340 579 4511.7075
341 159 447.4806
342 21 99.1322
343 199 8679.4668
344 216 1638.6577
345 301 9891.7779
346 90 847.3102
347 155 4801.8987
348 337 8554.0008
349 564 34733.4943
350 557 39563.6596
351 290 13930.0663
352 288 2867.4797
353 187 866.5073
354 203 4738.7267
355 540 4645.5611
356 198 6962.4849
357 68 246.4881
358 81 1639.6597
359 209 2893.7181
360 176 5306.1683
361 158 3851.9489
362 164 6093.3765
363 491 44809.9604
364 99 851.4582
365 89 1454.7777
366 248 5111.9817
367 550 52048.2202
368 165 4668.6346
369 130 3705.5428
370 112 2745.5744
371 275 14208.4423
372 152 4627.8710
373 176 6917.4876
374 159 3525.4072
375 77 913.1132
376 169 981.4049
377 76 1335.6164
378 46 481.9183
379 235 11141.3477
380 118 1310.4091
381 530 48981.2114
382 221 2194.9676
383 240 3296.3829
384 421 8706.6059
385 188 4615.1455
386 220 10203.1920
387 158 746.9079
