<number of tasks>
297
<cycle time>
2177
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 270 503.4604
2 270 3567.2172
3 130 243.5413
4 148 375.3988
5 190 1075.8129
6 293 3439.3541
7 348 1188.2012
8 182 2040.5068
9 490 4232.8541
10 212 221.9171
11 248 199.8750
12 248 1257.5698
13 248 2447.6309
14 248 1935.1516
15 248 639.5583
16 268 2271.7341
17 268 313.8881
18 268 591.4202
19 288 1927.3114
20 248 825.8621
21 268 1956.6879
22 60 61.8391
23 268 428.0186
24 240 2364.5299
25 240 3378.5023
26 171 1780.9550
27 490 12465.1330
28 182 1289.9877
29 170 503.4741
30 306 1080.8633
31 108 633.9468
32 248 2081.0514
33 190 1568.8007
34 240 3197.0013
35 339 6257.2667
36 288 2903.6532
37 248 2946.8524
38 455 8922.2459
39 268 4186.3887
40 270 965.6331
41 180 351.2086
42 121 166.9983
43 270 2805.2192
44 440 10786.1020
45 249 2863.5831
46 194 522.9165
47 162 253.1276
48 130 358.3221
49 388 5356.7983
50 90 492.4992
51 212 2613.5915
52 246 2777.9603
53 188 1360.7759
54 270 3562.2379
55 160 229.2419
56 79 238.0948
57 466 5574.7705
58 240 2181.8496
59 137 1081.5119
60 184 1156.8082
61 110 543.9698
62 275 2163.1696
63 149 162.6115
64 280 3651.3876
65 119 233.5858
66 184 1376.3578
67 140 983.4681
68 150 1212.3224
69 190 573.7577
70 150 639.5999
71 150 738.0621
72 284 3446.3604
73 192 1417.2405
74 347 194.1980
75 232 3257.1261
76 140 1005.5332
77 608 19830.0149
78 80 294.7147
79 40 41.1449
80 130 128.8241
81 110 163.3328
82 350 796.0910
83 140 183.0753
84 240 2291.5457
85 240 3158.8390
86 90 468.8781
87 54 6.8116
88 294 4339.4168
89 203 1215.6716
90 150 575.4792
91 270 2129.8685
92 155 885.6088
93 190 1514.8209
94 78 368.8749
95 140 750.6413
96 241 2313.8156
97 430 2948.9088
98 90 506.1773
99 110 693.8752
100 9 0.9278
101 430 4753.6116
102 130 86.1510
103 289 4586.4486
104 110 595.9417
105 160 960.8703
106 442 816.3401
107 159 1413.3434
108 250 1913.3614
109 190 973.6263
110 184 1263.9014
111 690 31.0043
112 72 14.1814
113 190 1099.0230
114 190 1519.2444
115 90 504.4687
116 889 28214.2218
117 170 1775.3018
118 155 95.2472
119 190 1633.9860
120 130 122.0273
121 390 3559.6009
122 301 4299.7484
123 54 25.3533
124 227 1300.6721
125 142 1256.5405
126 184 1987.7215
127 741 4970.0683
128 868 27685.3026
129 230 510.3629
130 121 788.9382
131 320 4110.1385
132 126 302.2187
133 440 7259.1794
134 127 670.7286
135 134 605.3122
136 150 1125.0666
137 140 158.3965
138 110 476.2384
139 320 587.0871
140 250 2171.3372
141 232 1321.0799
142 188 706.3979
143 250 820.7094
144 377 2507.1592
145 90 397.7982
146 140 1061.5803
147 90 231.8754
148 90 300.4634
149 70 128.4340
150 90 55.0835
151 110 251.6427
152 150 1045.3148
153 101 570.2913
154 377 1659.0741
155 118 415.1273
156 290 4297.2880
157 209 242.7721
158 150 328.2186
159 150 189.9928
160 79 152.6914
161 150 1072.2881
162 91 453.7562
163 59 53.1322
164 218 2757.8457
165 351 2659.9440
166 873 31029.1693
167 130 405.8912
168 68 10.3420
169 126 555.9638
170 120 93.6825
171 227 2794.1500
172 198 857.9534
173 132 464.0856
174 121 330.3184
175 150 981.9564
176 100 162.5210
177 38 41.8610
178 70 109.4596
179 355 4260.7471
180 284 3306.5989
181 122 788.4429
182 75 257.1256
183 160 444.6586
184 140 976.5751
185 520 4694.5512
186 99 9.4642
187 182 745.8256
188 80 43.0811
189 514 12576.5611
190 96 313.2576
191 50 134.3732
192 272 2105.7307
193 226 2802.3059
194 194 975.8833
195 164 112.4480
196 96 185.7083
197 107 42.1632
198 108 184.9263
199 167 881.9254
200 98 15.6371
201 82 102.3594
202 482 7746.1940
203 72 290.3109
204 50 17.4444
205 130 16.6723
206 230 1558.7928
207 50 10.5243
208 240 1656.0914
209 190 916.2523
210 190 691.1966
211 240 901.7762
212 74 313.7838
213 139 706.1348
214 339 2226.1748
215 260 3766.8499
216 132 847.8262
217 550 3537.0953
218 420 1973.7779
219 152 366.8968
220 12 0.2454
221 90 154.3242
222 5 1.4285
223 128 325.5467
224 100 72.7881
225 120 527.0865
226 100 352.1677
227 320 4734.6845
228 835 39745.5898
229 740 28057.2459
230 223 2646.1681
231 100 546.7798
232 390 321.8926
233 140 818.7330
234 304 730.0641
235 120 601.5625
236 403 5134.9229
237 21 3.3976
238 246 3173.6690
239 160 1304.6159
240 1019 2415.3041
241 34 25.2174
242 120 43.4432
243 68 170.4227
244 910 1265.5286
245 302 5187.3132
246 778 34214.3765
247 101 318.7595
248 1310 80054.6063
249 20 2.8678
250 278 2614.4745
251 81 395.0299
252 290 3080.5018
253 100 548.7305
254 372 6486.0711
255 72 290.5087
256 28 44.8796
257 90 284.5462
258 250 2175.6896
259 144 356.9288
260 303 1682.0050
261 220 1523.4017
262 58 50.3402
263 224 479.4124
264 211 1291.9967
265 99 96.2624
266 44 27.7504
267 120 9.8802
268 70 270.6465
269 421 233.3405
270 231 2471.4173
271 214 1611.2565
272 196 2349.6706
273 280 1698.9549
274 398 4430.3833
275 72 17.1831
276 280 1458.0693
277 356 7159.6704
278 193 1028.9967
279 140 626.8349
280 130 898.8659
281 300 517.2206
282 456 8857.1024
283 7 1.3316
284 170 404.3629
285 252 2609.5495
286 210 685.7256
287 308 2232.7227
288 308 4348.8285
289 121 405.7929
290 52 161.5130
291 426 194.3801
292 104 169.5243
293 1386 115941.7243
294 527 12779.3005
295 968 43844.5434
296 1047 20003.8800
297 538 616.2063
<precedence relations>
1,2
2,3
3,4
4,5
4,22
4,26
4,27
4,40
4,48
4,56
4,83
4,86
4,94
4,105
4,109
4,111
4,134
4,221
4,247
4,259
5,6
6,7
6,8
6,9
6,10
7,11
7,12
7,13
7,14
7,15
7,20
8,11
8,12
8,13
8,14
8,15
8,20
9,11
9,12
9,13
9,14
9,15
9,20
10,11
10,12
10,13
10,14
10,15
10,20
11,16
12,17
13,18
14,19
15,21
16,23
17,23
18,23
19,23
20,23
21,23
22,24
22,25
23,28
24,29
25,29
26,30
27,31
28,32
28,37
29,33
29,44
29,121
30,34
30,297
31,34
31,82
31,172
31,179
32,36
33,38
34,35
35,42
36,39
37,39
38,41
39,43
40,44
40,84
40,97
41,45
42,46
43,47
44,49
45,50
46,51
46,138
47,52
48,52
49,53
50,54
51,55
51,81
52,57
53,58
54,58
54,296
55,59
56,60
56,61
57,62
57,63
57,71
57,76
58,64
59,64
59,99
59,100
60,68
61,65
62,66
63,67
64,72
65,69
66,69
67,70
68,73
69,74
70,75
71,77
72,78
73,84
73,97
74,84
74,97
75,84
75,97
76,84
76,97
77,84
77,97
78,79
78,80
78,125
78,192
79,85
80,85
81,87
82,88
82,89
83,90
84,91
85,92
86,93
87,99
87,100
88,99
88,100
89,99
89,100
90,95
91,96
92,98
93,98
94,101
95,101
96,101
97,101
98,102
99,103
100,104
101,106
102,107
103,108
104,108
105,110
106,112
107,113
108,114
108,115
108,292
109,119
109,120
110,119
110,120
110,162
111,116
112,117
113,118
114,119
115,120
116,122
117,123
117,124
117,257
118,126
119,127
120,127
120,150
121,128
122,129
123,130
123,145
123,146
123,147
123,148
123,149
124,130
125,130
126,130
127,130
127,157
128,130
129,130
129,141
130,131
130,144
131,132
131,133
132,135
133,135
133,170
134,136
135,137
136,139
137,140
138,140
138,191
139,142
139,253
140,143
140,200
141,151
142,152
143,153
143,169
144,154
145,155
146,156
147,158
148,159
149,160
150,161
151,163
152,164
153,165
154,166
155,166
156,166
157,166
158,166
159,166
160,166
161,166
162,167
163,166
164,167
165,168
165,176
166,170
167,171
168,173
169,174
170,174
171,174
172,175
173,177
174,178
174,287
174,288
175,180
176,181
177,181
178,181
179,181
180,181
180,252
181,182
181,183
181,184
181,185
181,186
181,187
181,188
181,189
