<number of tasks>
297
<cycle time>
1935
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 270 2697.0406
2 270 98.6735
3 130 977.0526
4 148 1160.5498
5 190 375.9632
6 293 628.7359
7 348 3109.3619
8 182 1735.1185
9 490 13211.3525
10 212 665.6580
11 248 673.9896
12 248 2939.5571
13 248 1169.1917
14 248 1741.1852
15 248 3164.3254
16 268 2913.6017
17 268 755.8405
18 268 4479.5300
19 288 2024.6302
20 248 3446.3520
21 268 1438.3259
22 60 122.3519
23 268 4195.0190
24 240 145.0391
25 240 2250.5191
26 171 1622.4608
27 490 11004.3429
28 182 860.6892
29 170 155.1278
30 306 1784.7088
31 108 306.2316
32 248 1378.2697
33 190 122.6832
34 240 1660.3907
35 339 2281.4125
36 288 412.5338
37 248 2917.5295
38 455 9407.4481
39 268 3735.1771
40 270 572.6355
41 180 1021.6175
42 121 648.9717
43 270 1423.5845
44 440 74.7338
45 249 1555.0157
46 194 260.2507
47 162 1286.2144
48 130 723.9839
49 388 4555.3025
50 90 471.3048
51 212 80.5428
52 246 1065.3226
53 188 1437.1793
54 270 4144.4114
55 160 759.3317
56 79 307.2385
57 466 6257.6991
58 240 2570.7554
59 137 114.8020
60 184 350.7011
61 110 94.4175
62 275 4579.2481
63 149 263.0456
64 280 843.7542
65 119 3.0931
66 184 715.7883
67 140 445.2950
68 150 651.4000
69 190 875.6528
70 150 410.4284
71 150 0.0088
72 284 407.1278
73 192 1917.4825
74 347 4103.1507
75 232 53.5228
76 140 1080.9512
77 608 3167.5659
78 80 98.1047
79 40 86.8754
80 130 997.3938
81 110 639.5111
82 350 808.6941
83 140 1115.5068
84 240 2062.3907
85 240 2474.7066
86 90 206.1334
87 54 176.5808
88 294 4114.5146
89 203 2478.0097
90 150 893.4060
91 270 3246.6371
92 155 580.0990
93 190 457.0647
94 78 166.0140
95 140 95.1940
96 241 1334.8796
97 430 6278.4961
98 90 493.5581
99 110 522.2412
100 9 4.3558
101 430 4519.0420
102 130 239.0860
103 289 4096.9581
104 110 483.4823
105 160 1084.3877
106 442 6621.3590
107 159 956.4826
108 250 50.3780
109 190 763.1169
110 184 673.6494
111 690 11567.8840
112 72 137.9102
113 190 1296.6125
114 190 554.2560
115 90 72.2271
116 889 40912.8977
117 170 1745.5226
118 155 1326.7580
119 190 1129.5725
120 130 469.8356
121 390 8577.8187
122 301 141.6962
123 54 31.1970
124 227 1355.3895
125 142 701.0174
126 184 548.3664
127 741 13718.4670
128 868 11874.4816
129 230 1734.9233
130 121 722.0138
131 320 5750.0913
132 126 356.5189
133 440 379.8721
134 127 864.1000
135 134 918.1656
136 150 1399.5646
137 140 161.2757
138 110 489.4202
139 320 3117.6427
140 250 459.5952
141 232 1959.5079
142 188 1044.7821
143 250 1590.6582
144 377 304.0918
145 90 67.9033
146 140 1010.2209
147 90 285.8134
148 90 422.2629
149 70 89.5645
150 90 291.3174
151 110 98.6413
152 150 602.0774
153 101 517.9819
154 377 8683.7748
155 118 820.3062
156 290 2174.0795
157 209 2318.5826
158 150 721.8437
159 150 217.8323
160 79 363.0707
161 150 890.3631
162 91 80.1014
163 59 163.2503
164 218 1122.3206
165 351 3164.3263
166 873 887.4414
167 130 211.3367
168 68 129.4216
169 126 120.5018
170 120 800.7751
171 227 1569.7745
172 198 1534.8043
173 132 805.9392
174 121 90.5457
175 150 171.4605
176 100 89.8233
177 38 58.5574
178 70 94.9206
179 355 6229.5533
180 284 4794.4081
181 122 738.6086
182 75 148.4050
183 160 541.9114
184 140 60.5763
185 520 3390.3198
186 99 25.6573
187 182 2037.3234
188 80 213.7095
189 514 913.4025
190 96 304.3828
191 50 24.5563
192 272 2274.6709
193 226 566.9152
194 194 1667.7501
195 164 583.9546
196 96 349.7990
197 107 40.1729
198 108 32.9833
199 167 502.6419
200 98 72.4209
201 82 165.8523
202 482 2937.8424
203 72 314.1067
204 50 59.2767
205 130 755.0232
206 230 1856.3553
207 50 143.4336
208 240 2223.8211
209 190 2065.2225
210 190 346.1230
211 240 1726.9528
212 74 37.3549
213 139 398.3846
214 339 3952.8931
215 260 1733.5180
216 132 208.1316
217 550 4828.5717
218 420 8585.1987
219 152 689.2833
220 12 1.5305
221 90 198.5631
222 5 0.9271
223 128 548.0702
224 100 122.0277
225 120 475.5648
226 100 388.9865
227 320 1258.6292
228 835 36868.0802
229 740 277.1166
230 223 942.3189
231 100 206.9941
232 390 1334.2124
233 140 1218.0577
234 304 3624.1701
235 120 712.5187
236 403 3125.2119
237 21 12.6002
238 246 3184.5032
239 160 366.8661
240 1019 19896.2109
241 34 68.2571
242 120 255.8386
243 68 123.2273
244 910 33819.9379
245 302 1033.2810
246 778 18296.3568
247 101 222.3559
248 1310 18742.9015
249 20 3.0398
250 278 4226.9452
251 81 329.4747
252 290 297.6128
253 100 410.7636
254 372 6975.0759
255 72 92.2389
256 28 17.1338
257 90 446.7466
258 250 717.8962
259 144 547.5974
260 303 3562.6182
261 220 2211.4227
262 58 50.3072
263 224 1715.7589
264 211 1567.5155
265 99 274.2692
266 44 100.4632
267 120 833.4149
268 70 288.1125
269 421 4541.7692
270 231 859.3658
271 214 2470.4643
272 196 2026.3859
273 280 2067.2895
274 398 2065.8595
275 72 40.4346
276 280 4467.3548
277 356 7060.3533
278 193 2242.2648
279 140 947.4348
280 130 885.7500
281 300 1884.2414
282 456 2734.7795
283 7 3.0228
284 170 1146.2204
285 252 3436.8295
286 210 25.5635
287 308 3967.3118
288 308 2302.6837
289 121 289.7614
290 52 104.8700
291 426 5574.9091
292 104 249.4659
293 1386 66896.3567
294 527 15274.1870
295 968 33537.4461
296 1047 51753.5860
297 538 4810.5338
<precedence relations>
1,2
2,3
3,4
4,5
4,22
4,26
4,27
4,40
4,48
4,56
4,83
4,86
4,94
4,105
4,109
4,111
4,134
4,221
4,247
4,259
5,6
6,7
6,8
6,9
6,10
7,11
7,12
7,13
7,14
7,15
7,20
8,11
8,12
8,13
8,14
8,15
8,20
9,11
9,12
9,13
9,14
9,15
9,20
10,11
10,12
10,13
10,14
10,15
10,20
11,16
12,17
13,18
14,19
15,21
16,23
17,23
18,23
19,23
20,23
21,23
22,24
22,25
23,28
24,29
25,29
26,30
27,31
28,32
28,37
29,33
29,44
29,121
30,34
30,297
31,34
31,82
31,172
31,179
32,36
33,38
34,35
35,42
36,39
37,39
38,41
39,43
40,44
40,84
40,97
41,45
42,46
43,47
44,49
45,50
46,51
46,138
47,52
48,52
49,53
50,54
51,55
51,81
52,57
53,58
54,58
54,296
55,59
56,60
56,61
57,62
57,63
57,71
57,76
58,64
59,64
59,99
59,100
60,68
61,65
62,66
63,67
64,72
65,69
66,69
67,70
68,73
69,74
70,75
71,77
72,78
73,84
73,97
74,84
74,97
75,84
75,97
76,84
76,97
77,84
77,97
78,79
78,80
78,125
78,192
79,85
80,85
81,87
82,88
82,89
83,90
84,91
85,92
86,93
87,99
87,100
88,99
88,100
89,99
89,100
90,95
91,96
92,98
93,98
94,101
95,101
96,101
97,101
98,102
99,103
100,104
101,106
102,107
103,108
104,108
105,110
106,112
107,113
108,114
108,115
108,292
109,119
109,120
110,119
110,120
110,162
111,116
112,117
113,118
114,119
115,120
116,122
117,123
117,124
117,257
118,126
119,127
120,127
120,150
121,128
122,129
123,130
123,145
123,146
123,147
123,148
123,149
124,130
125,130
126,130
127,130
127,157
128,130
129,130
129,141
130,131
130,144
131,132
131,133
132,135
133,135
133,170
134,136
135,137
136,139
137,140
138,140
138,191
139,142
139,253
140,143
140,200
141,151
142,152
143,153
143,169
144,154
145,155
146,156
147,158
148,159
149,160
150,161
151,163
152,164
153,165
154,166
155,166
156,166
157,166
158,166
159,166
160,166
161,166
162,167
163,166
164,167
165,168
165,176
166,170
167,171
168,173
169,174
170,174
171,174
172,175
173,177
174,178
174,287
174,288
175,180
176,181
177,181
178,181
179,181
180,181
180,252
181,182
181,183
181,184
181,185
181,186
181,187
181,188
181,189
181,196
