<number of tasks>
1000
<cycle time>
1000
<order strength>
0.195
<z_alpha>
1.645
<task times>
1 76 704.8327
2 43 193.4501
3 214 1454.8095
4 168 409.1251
5 114 47.7528
6 95 1862.1594
7 26 116.3934
8 92 1013.3464
9 155 3254.0109
10 200 3173.4135
11 234 1343.2411
12 87 1590.9638
13 115 2728.7075
14 306 4188.0839
15 56 101.0091
16 161 2159.7247
17 49 569.5046
18 140 3804.6202
19 105 958.6802
20 112 1838.0461
21 76 176.7995
22 140 1757.3400
23 395 5483.3697
24 226 2101.5116
25 224 6455.5068
26 181 783.3189
27 166 3795.0699
28 141 350.1231
29 256 7695.8551
30 35 107.3760
31 169 5070.7349
32 42 189.0065
33 97 1653.3882
34 106 927.1885
35 220 4093.6776
36 246 5706.5320
37 170 5799.5963
38 179 19.9068
39 212 3257.2094
40 87 1428.4107
41 195 6741.7509
42 72 1008.5764
43 184 5274.0529
44 144 948.8631
45 113 2116.0174
46 135 4356.8887
47 74 1304.7271
48 143 2733.8048
49 154 188.7344
50 154 4818.2818
51 88 371.9142
52 243 665.3401
53 172 6016.5033
54 109 1204.0597
55 80 185.4578
56 241 4162.6777
57 266 12165.6947
58 50 471.1985
59 130 2009.1349
60 65 177.5987
61 92 631.0872
62 69 625.6632
63 24 26.6526
64 89 1500.3204
65 241 2744.3921
66 215 10221.7031
67 64 654.2982
68 158 2636.8884
69 231 1206.8619
70 169 6206.2927
71 269 2194.6006
72 172 5893.9540
73 155 1107.4546
74 155 4724.2997
75 27 141.0406
76 73 1164.2027
77 338 19494.4992
78 208 5144.5904
79 81 1221.7209
80 80 28.5115
81 299 653.7460
82 125 124.7250
83 137 775.9426
84 193 8295.7598
85 218 6766.6331
86 27 125.5650
87 81 646.6779
88 89 840.3852
89 50 526.9377
90 362 23241.9924
91 199 126.7597
92 190 1544.9429
93 156 5203.4460
94 66 661.0594
95 30 57.8573
96 52 134.9458
97 430 13851.9807
98 53 406.2680
99 78 640.2831
100 71 1062.6854
101 95 456.0618
102 136 928.7877
103 41 194.2475
104 70 808.2407
105 178 1156.5179
106 134 2078.8933
107 346 9449.8155
108 232 12158.8664
109 49 451.1313
110 148 3213.5552
111 68 543.1834
112 31 174.4936
113 113 1554.1096
114 203 1992.3862
115 214 11015.8199
116 35 56.1393
117 108 1642.9745
118 164 3696.1515
119 107 2448.4937
120 181 7794.3776
121 104 2313.1667
122 128 2745.5495
123 109 2167.5165
124 152 3311.7510
125 78 1285.5856
126 367 17583.9766
127 66 829.3932
128 192 3174.8200
129 156 1269.4525
130 73 719.0949
131 142 2746.0080
132 130 3817.3758
133 182 6111.6044
134 199 7015.1643
135 199 9245.7917
136 172 377.2928
137 63 735.8720
138 201 9571.7253
139 31 231.7668
140 139 687.5778
141 135 4486.7173
142 21 46.5701
143 155 3835.4547
144 81 1082.4230
145 240 11688.0192
146 259 2462.8646
147 91 36.7897
148 46 425.5530
149 184 7860.3525
150 105 2155.5804
151 108 1774.8928
152 104 967.9821
153 122 2050.1190
154 143 429.7785
155 66 285.2860
156 129 3918.1216
157 182 3612.0390
158 184 5143.1815
159 176 1353.8471
160 84 1048.8394
161 319 9949.2457
162 385 36602.6599
163 252 14125.4694
164 116 1290.5583
165 264 6912.3268
166 127 3550.8877
167 117 3012.8723
168 203 442.3734
169 20 98.6221
170 123 116.9604
171 163 3222.0765
172 197 2106.2403
173 95 1705.2202
174 21 3.3087
175 96 2107.4934
176 239 7783.3441
177 142 1942.5847
178 72 943.5553
179 210 5037.1323
180 76 1004.3629
181 117 2271.5184
182 149 5199.4960
183 97 1401.5890
184 168 1572.1550
185 29 13.9764
186 104 949.7689
187 136 925.2628
188 258 9031.2019
189 136 1642.5884
190 67 971.6529
191 192 8540.9766
192 104 1895.9658
193 49 130.1774
194 180 7642.9469
195 211 4976.2138
196 143 3902.7411
197 80 1543.1170
198 206 1419.9320
199 182 140.6755
200 131 914.1167
201 140 3306.4229
202 199 484.1494
203 59 538.0645
204 62 657.5030
205 35 156.5489
206 39 249.7632
207 117 2528.6013
208 87 1409.4964
209 57 275.3354
210 86 473.5215
211 147 1915.6303
212 247 8172.8046
213 87 1333.5269
214 62 578.8083
215 26 65.2122
216 196 3001.8808
217 99 1490.2697
218 84 476.1316
219 193 8961.1762
220 124 1814.3426
221 56 474.0026
222 66 207.9915
223 78 621.8016
224 88 829.7804
225 23 56.7500
226 145 2179.7136
227 74 1132.4332
228 36 117.3575
229 231 5878.9342
230 106 978.5753
231 117 2470.4758
232 142 197.5396
233 56 646.0233
234 261 11307.3683
235 118 398.1761
236 276 15115.4988
237 130 3691.1025
238 228 2771.5167
239 166 2284.1797
240 125 2828.5159
241 207 8489.0091
242 77 874.6353
243 88 1741.2946
244 89 1406.7339
245 38 160.9723
246 124 1146.8264
247 69 425.6427
248 62 779.2563
249 97 746.5087
250 135 890.9831
251 159 613.2947
252 204 7334.9377
253 204 6473.6996
254 240 3414.5952
255 54 337.3706
256 256 11965.3909
257 137 4234.5907
258 306 9914.7532
259 128 2791.7465
260 100 1323.2026
261 159 354.6475
262 205 9929.1801
263 123 3550.7654
264 49 4.6652
265 68 520.6872
266 100 1829.4216
267 120 1332.6015
268 45 185.5205
269 96 36.4186
270 104 1525.8612
271 34 56.1700
272 162 6013.9802
273 66 263.7874
274 108 1202.9497
275 218 10361.2237
276 257 5111.9837
277 143 3809.2929
278 267 6509.8945
279 93 724.0169
280 130 1080.6344
281 122 823.5241
282 250 14038.8705
283 87 1014.1504
284 78 1499.4616
285 199 1795.0683
286 69 320.2303
287 148 370.4149
288 73 390.4882
289 182 8279.4945
290 52 210.5341
291 106 2607.3181
292 87 309.6109
293 55 236.6280
294 22 116.3237
295 191 6667.4943
296 135 3831.4690
297 63 943.8288
298 203 1846.3899
299 136 3925.6937
300 288 19681.0509
301 175 3159.8568
302 241 8140.6686
303 112 1196.0259
304 107 1664.4267
305 115 173.1524
306 53 262.2841
307 115 1734.8112
308 88 736.4389
309 59 824.3766
310 71 449.5658
311 33 37.2593
312 93 502.0543
313 172 6333.4060
314 314 2569.7063
315 93 257.6550
316 23 7.5781
317 78 20.0140
318 171 723.5148
319 69 436.8421
320 118 3110.7522
321 41 96.0749
322 30 37.1510
323 98 1327.4431
324 50 280.8103
325 82 250.9940
326 132 3244.0450
327 141 4125.1293
328 104 961.0415
329 118 1905.7918
330 187 2468.9265
331 59 186.6624
332 316 3962.6292
333 48 83.4495
334 166 2477.2241
335 112 2595.1060
336 78 757.4437
337 34 59.9430
338 23 51.8588
339 290 8456.8135
340 124 1925.5126
341 341 7721.5166
342 216 111.6857
343 50 460.7067
344 146 515.1135
345 208 1766.8792
346 176 7153.5511
347 225 3060.2903
348 143 1613.5283
349 104 1373.8969
350 46 10.8275
351 128 119.8257
352 119 2270.5272
353 29 100.7338
354 125 3204.6441
355 62 594.1710
356 75 633.9680
357 166 820.1716
358 178 2302.9421
359 102 2384.9428
360 183 6942.7513
361 268 15289.4135
362 178 6392.6686
363 79 731.3458
364 54 412.6640
365 48 525.8951
366 137 2730.1278
367 157 5438.9851
368 191 3710.6399
369 422 26924.3836
370 186 1831.7341
371 96 147.3684
372 107 2615.9310
373 58 371.4735
374 312 23244.7650
375 175 5523.6668
376 289 3069.0385
377 144 2047.4519
378 139 4232.4382
379 128 1436.7709
380 206 766.5770
381 319 5485.7309
382 165 2766.7297
383 80 618.9755
384 67 230.1881
385 44 410.9326
386 136 4447.2402
387 49 64.7063
388 176 5455.7289
389 154 2443.3245
390 128 2426.8818
391 167 1501.0867
392 131 3607.0497
