<number of tasks>
148
<cycle time>
805
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 5.0608
2 30 50.1101
3 7 2.1959
4 47 35.7638
5 29 30.3567
6 8 3.9850
7 39 46.0717
8 37 9.8167
9 32 33.8297
10 29 1.6570
11 17 11.4246
12 11 7.2722
13 32 62.7436
14 15 9.5513
15 53 18.5481
16 53 90.8531
17 8 3.7587
18 24 19.7948
19 24 22.6956
20 8 2.0798
21 7 0.9937
22 8 2.1529
23 14 0.3199
24 13 6.6102
25 10 2.3852
26 25 8.6907
27 11 4.9922
28 25 31.4899
29 11 5.4567
30 29 42.0317
31 25 3.2441
32 10 2.1146
33 14 10.5219
34 41 74.5083
35 42 59.9833
36 47 30.6995
37 7 1.7123
38 80 162.4310
39 7 0.4865
40 41 1.2328
41 47 130.0170
42 16 11.1542
43 32 22.2220
44 66 14.9282
45 80 361.0557
46 7 2.5181
47 41 88.2952
48 13 9.7187
49 47 115.0773
50 33 66.6298
51 34 57.3590
52 11 5.6365
53 118 351.2651
54 25 4.4959
55 7 0.3018
56 28 2.2078
57 12 2.0149
58 52 14.1567
59 14 6.1773
60 3 0.1052
61 3 0.4429
62 8 3.6606
63 16 6.4523
64 33 54.7649
65 8 3.6745
66 18 0.2497
67 10 2.1351
68 14 10.8418
69 28 38.2342
70 11 0.5527
71 118 246.8534
72 25 0.3131
73 40 40.3321
74 40 11.1944
75 101 438.0432
76 5 0.2653
77 28 39.5481
78 8 3.0687
79 281 1183.0306
80 7 0.1606
81 26 40.4236
82 10 2.9153
83 21 13.5265
84 26 15.1788
85 20 3.0082
86 21 15.1560
87 47 39.5305
88 23 16.3319
89 13 6.5557
90 19 14.9132
91 115 395.7921
92 35 68.1779
93 26 24.0062
94 46 52.4360
95 20 10.3909
96 31 5.8245
97 19 6.0568
98 34 7.5601
99 51 88.0938
100 39 84.2137
101 30 46.4114
102 26 3.4410
103 13 8.9913
104 45 30.4006
105 58 46.9986
106 28 15.0940
107 8 0.0947
108 383 8330.8091
109 40 52.5269
110 34 47.3775
111 23 16.3337
112 162 603.2176
113 11 3.2864
114 19 21.9660
115 14 6.5545
116 31 54.4178
117 32 48.7727
118 26 41.1506
119 55 136.4030
120 31 59.4209
121 32 62.8653
122 26 22.7179
123 19 12.3584
124 14 1.2496
125 19 5.5076
126 48 60.4649
127 55 135.5338
128 8 1.0906
129 11 0.2782
130 27 3.4751
131 18 9.6509
132 36 2.7191
133 23 3.6579
134 20 9.5142
135 46 89.4554
136 64 131.8697
137 22 24.6956
138 15 13.3407
139 34 61.5791
140 22 6.7814
141 151 1229.3250
142 148 933.8987
143 64 138.8577
144 170 1591.7160
145 137 41.2489
146 64 63.1487
147 78 32.4480
148 78 353.2096
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
