<number of tasks>
148
<cycle time>
805
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 2.0406
2 30 99.3566
3 7 12.1941
4 47 383.4429
5 29 131.0262
6 8 13.9223
7 39 171.3379
8 37 98.6110
9 32 251.7965
10 29 175.6562
11 17 36.9781
12 11 28.1675
13 32 15.2726
14 15 23.7862
15 53 460.6395
16 53 404.0409
17 8 15.0333
18 24 62.5165
19 24 96.9840
20 8 10.3093
21 7 5.4669
22 8 15.5393
23 14 46.8298
24 13 1.8637
25 10 24.1733
26 25 40.3818
27 11 19.1806
28 25 130.1794
29 11 29.1031
30 29 158.5736
31 25 127.0521
32 10 10.9357
33 14 0.6785
34 41 85.4288
35 42 50.9883
36 47 108.2537
37 7 0.1023
38 80 1512.3374
39 7 8.2165
40 41 86.8890
41 47 319.5702
42 16 50.3994
43 32 178.3951
44 66 626.4910
45 80 1050.4025
46 7 5.5990
47 41 296.4759
48 13 14.9519
49 47 496.3573
50 33 61.0492
51 34 3.6926
52 11 19.6532
53 118 3225.0284
54 25 61.6568
55 7 6.1567
56 28 54.0668
57 12 28.4883
58 52 592.1990
59 14 12.4758
60 3 0.3339
61 3 1.7458
62 8 13.6861
63 16 44.8377
64 33 98.2270
65 8 2.6437
66 18 22.9758
67 10 12.5125
68 14 47.6962
69 28 63.0679
70 11 12.6354
71 118 1534.7318
72 25 110.1885
73 40 243.1633
74 40 176.5618
75 101 1029.8673
76 5 1.3316
77 28 2.3763
78 8 12.0438
79 281 19055.5632
80 7 3.4118
81 26 77.7626
82 10 11.6254
83 21 19.2290
84 26 15.6473
85 20 37.7613
86 21 87.6272
87 47 128.9852
88 23 20.7548
89 13 17.0404
90 19 89.1195
91 115 2915.9387
92 35 128.6729
93 26 108.0687
94 46 441.9848
95 20 57.7503
96 31 201.6440
97 19 69.7380
98 34 191.6156
99 51 540.4842
100 39 355.8342
101 30 73.9524
102 26 139.3554
103 13 41.2828
104 45 40.0682
105 58 827.7051
106 28 46.6825
107 8 0.4797
108 383 5032.7525
109 40 80.5535
110 34 23.3768
111 23 10.0119
112 162 6131.3689
113 11 20.1024
114 19 57.5455
115 14 36.3787
116 31 115.8832
117 32 46.4260
118 26 110.3042
119 55 567.2658
120 31 112.8273
121 32 2.9479
122 26 26.2298
123 19 76.8690
124 14 22.2981
125 19 58.9410
126 48 104.0726
127 55 367.4507
128 8 9.2952
129 11 6.3590
130 27 159.0713
131 18 1.6339
132 36 63.6570
133 23 59.8369
134 20 20.1801
135 46 237.1802
136 64 565.7569
137 22 112.4684
138 15 16.6165
139 34 203.4577
140 22 91.6255
141 151 2837.6379
142 148 1800.9652
143 64 341.7323
144 170 5634.0277
145 137 4652.6747
146 64 881.0705
147 78 298.0035
148 78 1245.1234
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
