<number of tasks>
1000
<cycle time>
1000
<order strength>
0.204
<z_alpha>
1.645
<task times>
1 63 106.0006
2 298 5286.5875
3 112 60.8272
4 497 13222.8869
5 77 73.1073
6 423 10523.6463
7 156 968.2021
8 79 188.3763
9 212 1211.6974
10 192 1298.9546
11 229 979.3825
12 96 399.9551
13 157 1269.6645
14 157 868.1694
15 506 4881.9935
16 414 1610.6993
17 163 633.1734
18 136 594.3909
19 150 751.3565
20 118 36.5821
21 225 396.8010
22 429 5871.1338
23 148 1292.0245
24 480 7982.3805
25 110 716.9146
26 394 1515.7536
27 228 122.1892
28 291 3419.4509
29 317 844.7736
30 481 8146.8964
31 375 2831.9602
32 86 71.7648
33 84 359.6909
34 576 2615.5693
35 142 679.4843
36 52 148.2182
37 524 10567.6783
38 100 89.1170
39 74 224.7755
40 157 274.3285
41 70 131.3918
42 208 2005.4891
43 65 218.6824
44 146 301.1545
45 252 3853.8929
46 94 11.7720
47 127 577.5605
48 163 1449.2953
49 468 1594.7652
50 479 8272.0692
51 526 15504.1454
52 151 647.2417
53 176 1000.1902
54 390 836.1279
55 33 62.4571
56 222 1849.5293
57 39 56.3158
58 128 308.1193
59 35 44.5831
60 69 280.5574
61 176 18.6570
62 251 3789.1793
63 151 1397.1819
64 500 2525.1786
65 27 28.5203
66 61 132.2822
67 66 70.9011
68 139 1000.5702
69 199 369.4444
70 208 1425.6802
71 43 74.3922
72 186 808.2917
73 438 8970.7230
74 288 4951.1912
75 291 2373.7899
76 191 1125.3288
77 24 32.7978
78 185 1693.4215
79 344 1602.8979
80 188 753.8479
81 344 7303.9991
82 158 520.4302
83 169 1415.5959
84 109 162.3156
85 134 620.3008
86 241 2276.8440
87 231 1648.6470
88 440 6244.6304
89 494 781.9097
90 521 3202.4993
91 305 5493.6289
92 298 1580.1452
93 69 172.9558
94 297 5109.8971
95 89 17.6062
96 104 629.1384
97 191 2221.9641
98 366 138.3158
99 259 2352.1593
100 100 55.5582
101 171 1132.5091
102 120 532.9834
103 120 731.6900
104 293 4276.9285
105 403 7230.1859
106 496 9100.5492
107 332 1130.8799
108 96 19.8620
109 475 13364.1398
110 120 121.8332
111 114 534.1008
112 471 6431.1216
113 157 11.6099
114 75 317.1564
115 110 531.7166
116 514 4196.7206
117 271 2187.0553
118 282 1754.5943
119 91 62.3873
120 153 799.9430
121 126 971.5760
122 421 9971.9476
123 144 353.9649
124 360 4136.5281
125 224 28.1758
126 119 520.1929
127 131 813.8534
128 43 113.8839
129 452 4813.5481
130 76 14.1684
131 123 287.7738
132 155 1027.0126
133 555 10840.3725
134 176 26.4776
135 45 5.4252
136 475 12201.3138
137 58 50.3333
138 284 351.9124
139 92 372.9678
140 75 7.7559
141 294 2837.0588
142 91 343.5832
143 442 11597.4983
144 190 1788.1087
145 319 5023.9965
146 57 21.7001
147 453 6462.7164
148 24 4.1011
149 43 76.3632
150 154 301.3578
151 47 111.2286
152 48 142.1170
153 31 6.0631
154 55 120.4949
155 523 8645.3613
156 337 5846.3374
157 525 4687.9425
158 108 116.3719
159 229 642.3637
160 460 1605.6540
161 317 5152.0503
162 101 337.8767
163 24 16.0373
164 465 2614.8249
165 23 32.0330
166 241 245.8091
167 103 342.3745
168 39 66.6873
169 483 5711.4138
170 380 7131.4134
171 422 6639.4760
172 311 4041.2348
173 188 632.9835
174 286 4979.0383
175 25 26.1109
176 126 463.6851
177 149 325.3117
178 235 2546.9928
179 128 481.8638
180 173 581.1902
181 188 1364.3520
182 175 1294.8411
183 22 24.7544
184 532 15050.7548
185 39 64.3197
186 51 142.9829
187 228 2854.3300
188 470 12567.7925
189 387 9330.5445
190 242 474.3796
191 230 1884.3984
192 313 1424.1916
193 131 76.2909
194 476 2950.9547
195 288 3951.2776
196 397 2014.1651
197 124 146.6627
198 164 211.4158
199 142 684.0069
200 75 31.5232
201 99 463.3812
202 309 4248.3303
203 287 1084.3294
204 530 10894.1689
205 203 970.5081
206 88 464.4700
207 32 56.7255
208 111 208.0523
209 265 1618.6111
210 423 7150.7069
211 188 1255.6243
212 184 802.9986
213 165 355.0414
214 308 1718.0024
215 138 397.5533
216 193 1650.4801
217 289 2604.2778
218 153 892.9094
219 100 216.4116
220 51 130.2050
221 221 2562.9411
222 282 610.2640
223 144 824.3326
224 420 8523.7112
225 207 2456.0826
226 564 5029.7403
227 158 1179.0152
228 174 89.9072
229 186 460.5721
230 257 2478.1874
231 215 792.3856
232 100 359.9127
233 269 3477.9742
234 428 7482.7776
235 171 1296.9538
236 60 202.7829
237 107 585.9085
238 89 74.6120
239 204 360.6817
240 114 128.7247
241 201 1194.3130
242 137 1017.4923
243 204 1191.3291
244 487 2730.1675
245 336 5936.0313
246 196 1663.1338
247 392 876.7548
248 139 1133.1113
249 324 1994.3807
250 513 7983.0161
251 60 142.7524
252 526 13118.4652
253 499 12138.9353
254 155 1333.8030
255 56 115.5393
256 22 0.8719
257 455 9821.4308
258 420 6411.9972
259 209 1322.9056
260 91 183.1418
261 150 669.2627
262 199 1147.1800
263 172 134.0272
264 23 11.6773
265 401 9666.0850
266 50 106.2310
267 407 1585.7300
268 305 937.4138
269 173 158.4413
270 67 131.0010
271 61 101.0979
272 513 8017.1110
273 326 1439.7985
274 158 979.5175
275 217 2548.2789
276 508 15335.2534
277 184 1107.8389
278 187 2086.2875
279 24 21.7968
280 299 3457.4531
281 506 12858.9958
282 29 6.4422
283 152 857.8938
284 179 543.9620
285 24 13.1336
286 127 863.6823
287 452 12200.7482
288 61 133.3428
289 22 19.4627
290 125 286.1172
291 95 120.5619
292 266 1072.8562
293 317 2647.4197
294 204 1841.8849
295 300 145.6757
296 181 1769.5719
297 535 7940.6180
298 222 413.3466
299 289 2776.6673
300 517 10748.3644
301 96 567.0141
302 260 2420.3994
303 417 8010.2956
304 175 537.7544
305 276 2537.8560
306 28 43.9688
307 435 7011.7173
308 87 444.3669
309 160 1085.8914
310 55 86.9530
311 90 374.4786
312 22 21.8230
313 104 589.7255
314 34 69.9733
315 197 793.4690
316 220 1348.5152
317 348 3331.7751
318 75 283.4831
319 343 5305.3164
320 120 898.9105
321 229 3168.2341
322 30 33.9879
323 529 612.5537
324 277 2976.6090
325 247 461.0260
326 298 3127.1943
327 81 129.6915
328 346 4030.0095
329 326 881.3510
330 24 33.5051
331 352 4332.2886
332 566 10697.1182
333 90 471.1563
334 134 1109.5111
335 214 2588.3838
336 285 294.3464
337 263 1465.5603
338 308 1045.1504
339 206 1074.5606
340 269 1509.4765
341 68 143.2015
342 316 900.7938
343 73 310.1936
344 85 377.2412
345 52 113.4178
346 183 1378.9174
347 81 283.0441
348 62 13.5226
349 168 11.2065
350 613 3832.1198
351 131 72.8550
352 133 190.0878
353 348 4596.4393
354 201 750.6393
355 415 2794.1976
356 447 11247.1780
357 484 12357.2296
358 75 307.4039
359 61 228.4452
360 250 2895.1121
361 235 1890.9478
362 522 9755.2370
363 153 158.5251
364 169 416.2996
365 39 69.0623
366 99 371.1343
367 92 19.2215
368 254 789.1934
369 558 8186.5572
370 603 2102.0650
371 175 173.6922
372 76 232.2335
373 295 2583.9902
374 500 11647.9244
375 27 8.3995
376 149 1353.7656
377 22 13.9771
378 92 71.7335
379 142 518.6575
380 531 15447.8419
381 63 196.1131
382 75 7.8856
383 307 4437.1847
384 61 53.7422
385 266 2243.0353
386 463 13340.2035
387 430 4200.7192
388 526 10326.5029
389 150 291.3319
390 56 111.3602
391 527 8275.7929
392 392 4350.9948
393 407 49.1785
394 107 355.7187
395 391 4566.0452
396 248 2249.8239
397 168 74.0968
