<number of tasks>
148
<cycle time>
106
<order strength>
0.000
<z_alpha>
1.280
<task times>
1 16 14.3190
2 30 189.7040
3 7 2.5653
4 47 2.5348
5 29 185.9923
6 8 12.2577
7 39 122.1035
8 37 6.3262
9 32 7.2364
10 29 155.4666
11 17 47.7864
12 11 13.1652
13 32 171.5124
14 15 28.8411
15 53 38.0641
16 53 652.2323
17 8 3.2277
18 24 85.7134
19 24 30.4800
20 8 11.2206
21 7 3.1069
22 8 2.2615
23 14 30.0227
24 13 37.4999
25 10 5.8682
26 25 41.7036
27 11 29.8661
28 25 34.3707
29 11 10.8303
30 29 28.5663
31 25 81.8810
32 10 16.9894
33 14 35.9794
34 41 239.0432
35 42 236.2400
36 47 416.0179
37 7 2.5737
38 80 155.3414
39 7 9.1669
40 41 77.8832
41 47 434.5735
42 16 52.5406
43 32 6.6654
44 66 269.5555
45 80 79.6058
46 7 9.1031
47 41 418.9407
48 13 26.7443
49 47 321.2675
50 33 114.9159
51 34 58.2711
52 11 7.6751
53 18 66.2024
54 25 25.0632
55 7 0.0372
56 28 2.8754
57 12 17.3916
58 52 414.3375
59 14 22.6091
60 3 1.9181
61 3 1.4175
62 8 14.3275
63 16 17.7408
64 33 216.9761
65 8 1.6239
66 18 24.2939
67 10 3.0359
68 14 22.3763
69 28 6.0081
70 11 20.0358
71 18 52.4846
72 25 4.1254
73 40 290.0895
74 40 56.8455
75 1 0.1322
76 5 0.3113
77 28 172.2549
78 8 5.3199
79 81 125.9487
80 7 3.7170
81 26 95.8103
82 10 17.3126
83 21 81.9553
84 26 159.7243
85 20 8.8640
86 21 94.2348
87 47 523.6893
88 23 111.0438
89 13 15.2670
90 19 78.6795
91 15 29.9811
92 35 61.3806
93 26 98.0996
94 46 421.6285
95 20 37.9061
96 31 71.0622
97 19 59.1473
98 34 121.0387
99 51 507.5524
100 39 360.8350
101 30 145.3548
102 26 31.9025
103 13 34.6759
104 45 139.1061
105 58 594.1150
106 28 142.8411
107 8 2.0584
108 83 110.9780
109 40 55.5794
110 34 85.2476
111 23 117.6726
112 62 26.1723
113 11 11.0667
114 19 36.8568
115 14 16.4517
116 31 66.7817
117 32 176.1712
118 26 24.0012
119 55 105.0975
120 31 134.5943
121 32 234.6959
122 26 82.6101
123 19 18.1033
124 14 3.7839
125 19 51.1236
126 48 433.2052
127 55 627.8572
128 8 9.3568
129 11 28.1759
130 27 77.3686
131 18 65.7613
132 36 255.3138
133 23 39.3456
134 20 45.3427
135 46 167.8786
136 64 382.3291
137 22 107.6833
138 15 24.8252
139 34 277.5640
140 22 74.3580
141 51 30.2335
142 48 384.0366
143 64 344.6218
144 70 225.9894
145 37 98.6517
146 64 72.2679
147 78 31.6756
148 78 79.7311
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
