<number of tasks>
148
<cycle time>
133
<order strength>
0.000
<z_alpha>
1.280
<task times>
1 16 5.2433
2 30 34.4993
3 7 0.9868
4 47 72.7282
5 29 26.3133
6 8 3.1423
7 39 23.9030
8 37 65.5428
9 32 52.0147
10 29 30.6497
11 17 0.9141
12 11 0.2653
13 32 34.7957
14 15 0.1676
15 53 75.1687
16 53 101.0247
17 8 2.2124
18 24 19.9625
19 24 12.3955
20 8 1.2910
21 7 1.9205
22 8 2.8486
23 14 12.1511
24 13 6.3960
25 10 4.5375
26 25 24.6023
27 11 2.4332
28 25 12.4895
29 11 3.6152
30 29 25.6788
31 25 11.5173
32 10 2.2749
33 14 0.0735
34 41 93.7673
35 42 55.4036
36 47 71.7428
37 7 2.8598
38 80 0.0886
39 7 2.3412
40 41 38.7537
41 47 99.1626
42 16 7.7121
43 32 48.8431
44 66 67.1328
45 80 91.7871
46 7 2.8917
47 41 24.5856
48 13 0.7731
49 47 96.9374
50 33 53.4327
51 34 24.3992
52 11 0.4281
53 18 10.1757
54 25 22.3324
55 7 1.1969
56 28 13.8697
57 12 6.3430
58 52 117.6169
59 14 6.5864
60 3 0.0188
61 3 0.3957
62 8 3.5336
63 16 15.5978
64 33 27.8239
65 8 3.6054
66 18 8.7301
67 10 4.2886
68 14 7.2652
69 28 5.4784
70 11 4.7146
71 18 17.8907
72 25 28.5030
73 40 29.2315
74 40 92.1560
75 1 0.0315
76 5 0.5083
77 28 45.9139
78 8 0.6106
79 81 311.2830
80 7 1.3768
81 26 18.0931
82 10 0.3700
83 21 17.7078
84 26 17.9358
85 20 23.4819
86 21 9.5878
87 47 76.9712
88 23 25.4137
89 13 8.0004
90 19 5.9257
91 15 6.4068
92 35 72.0717
93 26 11.5111
94 46 114.6384
95 20 20.9435
96 31 6.6232
97 19 8.0488
98 34 37.2869
99 51 76.4841
100 39 65.2971
101 30 35.6644
102 26 3.3270
103 13 8.3131
104 45 84.9337
105 58 123.8177
106 28 17.5172
107 8 2.8833
108 83 225.3824
109 40 98.2906
110 34 72.1046
111 23 2.2956
112 62 175.5024
113 11 0.4264
114 19 7.6207
115 14 10.0052
116 31 44.6599
117 32 55.7122
118 26 11.0969
119 55 83.9717
120 31 44.5726
121 32 5.1707
122 26 38.1659
123 19 7.3284
124 14 3.6350
125 19 14.5653
126 48 132.4336
127 55 179.9670
128 8 3.1316
129 11 4.1605
130 27 26.7944
131 18 15.9084
132 36 59.6630
133 23 4.1349
134 20 8.5412
135 46 54.7853
136 64 40.2825
137 22 5.7709
138 15 5.4727
139 34 41.1723
140 22 21.2204
141 51 1.2773
142 48 51.1414
143 64 125.9118
144 70 232.4578
145 37 55.9500
146 64 110.2389
147 78 79.5582
148 78 371.1408
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
