<number of tasks>
148
<cycle time>
170
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 16 5.6563
2 30 9.4727
3 7 1.5492
4 47 122.7408
5 29 46.9990
6 8 0.9944
7 39 11.0297
8 37 40.1836
9 32 33.8892
10 29 15.8741
11 17 12.2099
12 11 1.8797
13 32 37.9455
14 15 4.6544
15 53 84.9624
16 53 164.4393
17 8 0.6632
18 24 13.2249
19 24 34.0994
20 8 3.9243
21 7 0.2810
22 8 2.7713
23 14 11.9759
24 13 5.0810
25 10 1.9155
26 25 13.6429
27 11 0.4276
28 25 32.3705
29 11 0.8675
30 29 12.1566
31 25 13.9328
32 10 3.6485
33 14 11.4675
34 41 59.7330
35 42 46.8709
36 47 22.6165
37 7 2.2656
38 80 216.6327
39 7 0.7161
40 41 14.4058
41 47 73.4236
42 16 14.9182
43 32 5.4319
44 66 192.7114
45 80 240.2672
46 7 0.0532
47 41 4.4125
48 13 6.8908
49 47 48.9146
50 33 48.1269
51 34 52.1238
52 11 6.5003
53 18 5.0004
54 25 21.1017
55 7 0.1826
56 28 13.8756
57 12 5.3616
58 52 22.4569
59 14 7.7236
60 3 0.4249
61 3 0.4937
62 8 3.6134
63 16 5.7842
64 33 20.3085
65 8 0.0041
66 18 18.4298
67 10 5.3483
68 14 2.5785
69 28 5.2776
70 11 3.9463
71 18 15.9797
72 25 27.3003
73 40 26.2624
74 40 7.4326
75 1 0.0184
76 5 1.2936
77 28 41.6700
78 8 2.7255
79 81 388.2475
80 7 1.7169
81 26 10.8457
82 10 1.9184
83 21 3.7440
84 26 26.0757
85 20 8.3865
86 21 17.3215
87 47 89.1262
88 23 15.4260
89 13 0.0848
90 19 5.8225
91 15 0.6650
92 35 15.5159
93 26 41.1319
94 46 78.1726
95 20 8.5615
96 31 2.7052
97 19 8.5016
98 34 38.6556
99 51 40.5991
100 39 74.5198
101 30 52.7286
102 26 6.5176
103 13 6.7652
104 45 63.8513
105 58 62.5278
106 28 4.9852
107 8 2.7855
108 83 275.6669
109 40 14.6301
110 34 55.9664
111 23 31.0026
112 62 165.4408
113 11 2.6453
114 19 14.8946
115 14 7.2150
116 31 58.4544
117 32 40.5158
118 26 26.3290
119 55 13.3087
120 31 50.1765
121 32 11.8582
122 26 34.4566
123 19 1.1191
124 14 3.8982
125 19 12.4327
126 48 96.7404
127 55 94.7614
128 8 1.0418
129 11 6.8481
130 27 44.1971
131 18 13.9964
132 36 56.3148
133 23 32.3103
134 20 8.2698
135 46 28.4463
136 64 245.0489
137 22 18.8127
138 15 4.8197
139 34 45.9755
140 22 22.5622
141 51 35.2071
142 48 79.7145
143 64 53.9045
144 70 199.6733
145 37 2.7876
146 64 237.9313
147 78 327.4357
148 78 194.4930
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
