<number of tasks>
148
<cycle time>
403
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 13.9585
2 30 3.5296
3 7 2.6068
4 47 112.5987
5 29 14.0287
6 8 3.9267
7 39 12.9616
8 37 27.5019
9 32 22.1634
10 29 19.4817
11 17 6.2651
12 11 1.8743
13 32 21.5825
14 15 2.1868
15 53 123.1904
16 53 106.6014
17 8 2.9477
18 24 23.5138
19 24 0.0574
20 8 0.6340
21 7 2.7791
22 8 3.8252
23 14 4.3633
24 13 0.8190
25 10 5.3443
26 25 37.3878
27 11 7.2379
28 25 7.1075
29 11 0.9562
30 29 33.9868
31 25 32.3039
32 10 2.8195
33 14 1.2745
34 41 57.1819
35 42 109.3715
36 47 57.9985
37 7 1.1236
38 80 146.3440
39 7 2.0467
40 41 80.8335
41 47 21.2851
42 16 7.2533
43 32 29.9634
44 66 162.6020
45 80 168.2305
46 7 0.3485
47 41 51.2657
48 13 9.5486
49 47 106.6563
50 33 67.8177
51 34 13.4973
52 11 4.6957
53 118 252.7709
54 25 30.4505
55 7 1.9312
56 28 19.2987
57 12 7.7471
58 52 78.5177
59 14 10.2508
60 3 0.5182
61 3 0.2042
62 8 0.0608
63 16 1.4248
64 33 20.0015
65 8 2.7315
66 18 10.7857
67 10 4.6891
68 14 1.5515
69 28 39.5180
70 11 7.1745
71 118 87.8200
72 25 30.5479
73 40 92.8863
74 40 52.8162
75 101 550.3959
76 5 1.5527
77 28 11.7203
78 8 2.1109
79 281 2850.9555
80 7 2.3235
81 26 10.3958
82 10 3.7099
83 21 19.8688
84 26 8.1171
85 20 2.2382
86 21 25.4001
87 47 117.4782
88 23 8.9910
89 13 0.0401
90 19 6.9551
91 115 132.3667
92 35 71.1613
93 26 36.8283
94 46 55.5678
95 20 12.3989
96 31 43.8457
97 19 14.0194
98 34 7.5806
99 51 80.1909
100 39 17.9125
101 30 36.7802
102 26 17.6838
103 13 1.2223
104 45 89.8620
105 58 201.3856
106 28 34.9800
107 8 0.2052
108 383 72.2723
109 40 33.3871
110 34 16.6276
111 23 12.9553
112 162 864.9420
113 11 2.2007
114 19 0.1209
115 14 1.2298
116 31 53.0075
117 32 25.6316
118 26 30.2582
119 55 77.2390
120 31 42.6190
121 32 15.1476
122 26 20.3532
123 19 5.7440
124 14 2.6681
125 19 12.1285
126 48 133.6051
127 55 38.6461
128 8 3.7078
129 11 2.1311
130 27 28.7782
131 18 5.2869
132 36 18.7940
133 23 21.3357
134 20 2.3667
135 46 118.7939
136 64 229.4563
137 22 4.4049
138 15 4.7131
139 34 65.6178
140 22 11.4347
141 151 610.7136
142 148 66.1235
143 64 238.4150
144 170 454.4343
145 137 177.4098
146 64 8.6279
147 78 299.8528
148 78 326.8472
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
