<number of tasks>
148
<cycle time>
91
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 16 45.4329
2 30 181.5877
3 7 4.6085
4 47 242.5444
5 29 162.4282
6 8 11.6870
7 39 299.8694
8 37 39.3185
9 32 77.6024
10 29 132.6649
11 17 35.1577
12 11 24.7567
13 32 116.1350
14 15 11.2324
15 53 338.1546
16 53 248.5533
17 8 2.6040
18 24 37.3850
19 24 114.8861
20 8 11.2263
21 7 9.5342
22 8 15.5806
23 14 4.8518
24 13 37.8497
25 10 15.3269
26 25 19.0281
27 11 22.6098
28 25 137.0164
29 11 27.9200
30 29 123.7483
31 25 27.8859
32 10 9.5102
33 14 25.7104
34 41 293.8775
35 42 258.7735
36 47 168.7375
37 7 10.7173
38 80 19.4915
39 7 0.3307
40 41 138.5613
41 47 137.4693
42 16 49.7612
43 32 18.6572
44 66 124.2272
45 80 23.5350
46 7 5.0994
47 41 136.6733
48 13 17.8884
49 47 44.1245
50 33 11.8632
51 34 163.6273
52 11 10.7958
53 18 57.2777
54 25 155.3975
55 7 10.8956
56 28 168.8105
57 12 34.6096
58 52 70.0231
59 14 41.8202
60 3 1.8789
61 3 0.6394
62 8 2.8657
63 16 5.8525
64 33 90.3043
65 8 5.6937
66 18 71.3021
67 10 13.9059
68 14 8.3999
69 28 54.5730
70 11 7.9634
71 18 58.3283
72 25 143.9038
73 40 310.4848
74 40 150.5122
75 1 0.0051
76 5 1.6246
77 28 27.7219
78 8 7.2845
79 81 9.3502
80 7 7.0316
81 26 92.9367
82 10 21.3512
83 21 35.2051
84 26 97.9663
85 20 97.5767
86 21 47.1604
87 47 359.6475
88 23 27.6643
89 13 39.2330
90 19 10.8145
91 15 48.7828
92 35 284.7443
93 26 96.2075
94 46 324.8402
95 20 77.9127
96 31 69.3228
97 19 5.5882
98 34 138.4381
99 51 343.6263
100 39 141.9213
101 30 70.7386
102 26 64.4697
103 13 3.4623
104 45 191.1757
105 58 158.0887
106 28 62.0946
107 8 6.0320
108 83 8.0059
109 40 10.3882
110 34 141.1498
111 23 31.9682
112 62 36.4041
113 11 10.9585
114 19 27.9571
115 14 2.3271
116 31 155.8556
117 32 152.7894
118 26 33.6998
119 55 98.3315
120 31 21.7421
121 32 44.1937
122 26 12.3573
123 19 2.6586
124 14 20.9095
125 19 20.5259
126 48 435.0902
127 55 94.2817
128 8 1.6348
129 11 0.5059
130 27 127.3482
131 18 42.5710
132 36 121.9469
133 23 86.9270
134 20 52.6645
135 46 272.3994
136 64 43.3902
137 22 12.8217
138 15 23.7347
139 34 127.2240
140 22 79.2086
141 51 80.7597
142 48 76.0189
143 64 148.3238
144 70 9.2947
145 37 50.1890
146 64 188.7181
147 78 0.7489
148 78 41.8986
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
