<number of tasks>
297
<cycle time>
1548
<order strength>
0.000
<z_alpha>
1.280
<task times>
1 270 3573.6662
2 270 1864.4199
3 130 320.6269
4 148 421.2796
5 190 643.2745
6 293 3215.5884
7 348 1252.9386
8 182 46.8383
9 490 10588.4266
10 212 1275.2654
11 248 290.3618
12 248 2091.1307
13 248 735.2542
14 248 189.8889
15 248 192.8577
16 268 3647.5528
17 268 861.0034
18 268 1023.4077
19 288 3957.6884
20 248 2983.8143
21 268 4354.5158
22 60 215.1519
23 268 929.1493
24 240 3250.2777
25 240 3454.4638
26 171 304.3306
27 490 11966.4805
28 182 1167.0194
29 170 1340.2516
30 306 2821.8603
31 108 60.8988
32 248 2098.2496
33 190 1898.8978
34 240 2138.8076
35 339 6002.3799
36 288 4715.0210
37 248 1624.4619
38 455 4633.4944
39 268 1464.2166
40 270 200.6003
41 180 1906.4079
42 121 7.3250
43 270 3164.9154
44 440 3249.3070
45 249 792.0560
46 194 175.4469
47 162 1206.5536
48 130 389.6147
49 388 8178.3987
50 90 72.9858
51 212 1610.5521
52 246 3619.0732
53 188 1511.5103
54 270 2843.1463
55 160 450.4837
56 79 348.7321
57 466 9909.0068
58 240 948.9606
59 137 1.8986
60 184 721.2308
61 110 156.0455
62 275 2739.2407
63 149 1268.7537
64 280 390.8162
65 119 670.6229
66 184 327.2227
67 140 657.1228
68 150 1272.3858
69 190 1460.2867
70 150 526.6345
71 150 604.2484
72 284 4722.7489
73 192 971.2031
74 347 6243.9319
75 232 2514.9804
76 140 308.8280
77 608 6953.5182
78 80 207.9123
79 40 50.6562
80 130 323.9750
81 110 117.4729
82 350 2567.0329
83 140 737.2554
84 240 3443.1088
85 240 329.8924
86 90 80.3898
87 54 75.3834
88 294 2508.2957
89 203 1462.6400
90 150 96.9320
91 270 346.3877
92 155 1476.2670
93 190 1455.2341
94 78 177.4600
95 140 651.4173
96 241 1449.8744
97 430 9091.9554
98 90 20.2732
99 110 460.1819
100 9 1.6114
101 430 4255.2323
102 130 20.3574
103 289 4461.8894
104 110 151.7850
105 160 570.4878
106 442 1381.7340
107 159 1345.1634
108 250 1561.0975
109 190 768.8618
110 184 1665.3338
111 690 9001.5340
112 72 0.4764
113 190 1249.4180
114 190 1281.6145
115 90 202.0674
116 889 14764.8067
117 170 1784.6755
118 155 857.4240
119 190 338.0717
120 130 831.9491
121 390 3637.0939
122 301 2653.8145
123 54 138.8009
124 227 1959.9080
125 142 822.8157
126 184 242.5633
127 741 30120.7374
128 868 518.8079
129 230 3279.0091
130 121 191.3765
131 320 1880.1223
132 126 197.1246
133 440 9973.0462
134 127 498.9631
135 134 429.7834
136 150 107.0713
137 140 21.7038
138 110 468.3286
139 320 3307.9733
140 250 1391.5173
141 232 3091.5292
142 188 277.3516
143 250 2841.5848
144 377 8483.8431
145 90 134.4073
146 140 645.6891
147 90 212.9060
148 90 216.7667
149 70 201.9168
150 90 352.5324
151 110 597.5131
152 150 551.1807
153 101 599.7937
154 377 3512.4745
155 118 487.3295
156 290 3059.7066
157 209 1637.6709
158 150 979.9381
159 150 465.3952
160 79 174.8734
161 150 588.8634
162 91 111.1281
163 59 64.7842
164 218 2903.1272
165 351 433.6777
166 873 36097.1293
167 130 273.6980
168 68 84.2871
169 126 107.2732
170 120 112.0572
171 227 846.1744
172 198 1626.5086
173 132 400.0883
174 121 812.8140
175 150 684.5871
176 100 144.5307
177 38 18.3235
178 70 148.3161
179 355 7720.6206
180 284 4498.9711
181 122 713.6463
182 75 309.6624
183 160 582.4321
184 140 751.9329
185 520 10630.2317
186 99 222.3067
187 182 1910.9186
188 80 77.3028
189 514 1804.0005
190 96 313.4615
191 50 120.7342
192 272 2496.4536
193 226 1229.5870
194 194 933.5930
195 164 164.0458
196 96 477.2351
197 107 422.5689
198 108 430.7712
199 167 1142.3605
200 98 120.5811
201 82 10.0655
202 482 4378.6155
203 72 96.3006
204 50 20.0985
205 130 391.8939
206 230 2127.2768
207 50 67.8021
208 240 920.8737
209 190 590.4869
210 190 370.4424
211 240 2656.6789
212 74 123.0855
213 139 874.3093
214 339 7134.8864
215 260 1548.2608
216 132 865.8730
217 550 5355.2010
218 420 7752.1756
219 152 1335.3350
220 12 0.4861
221 90 380.9779
222 5 0.5265
223 128 315.4919
224 100 334.9901
225 120 540.1491
226 100 149.1517
227 320 3651.2217
228 835 5510.1270
229 740 24598.8073
230 223 2246.6308
231 100 376.3491
232 390 6029.5910
233 140 174.2824
234 304 3334.9466
235 120 639.6122
236 403 4425.0437
237 21 1.6048
238 246 1887.2444
239 160 371.8797
240 1019 63292.0852
241 34 14.5552
242 120 707.9562
243 68 242.2057
244 910 11997.4112
245 302 1521.5668
246 778 5570.2814
247 101 46.6111
248 1310 5626.5922
249 20 21.7011
250 278 4600.1855
251 81 165.6343
252 290 461.4074
253 100 416.3601
254 372 5153.3050
255 72 167.0277
256 28 7.8751
257 90 347.9785
258 250 1202.5365
259 144 925.5927
260 303 542.7589
261 220 1151.9168
262 58 204.5547
263 224 1141.5492
264 211 1786.5001
265 99 520.2488
266 44 45.3259
267 120 762.0121
268 70 167.8507
269 421 3832.9613
270 231 3241.3081
271 214 1741.7971
272 196 1604.3670
273 280 1523.5790
274 398 8815.5694
275 72 115.0108
276 280 2249.1944
277 356 5566.2023
278 193 635.0915
279 140 505.2875
280 130 442.1511
281 300 3013.8626
282 456 8214.5982
283 7 1.0948
284 170 1644.4832
285 252 3770.4389
286 210 859.2722
287 308 1868.8650
288 308 3884.1931
289 121 732.5708
290 52 160.5795
291 426 3960.3111
292 104 229.0816
293 1386 2370.8585
294 527 8758.0730
295 968 34359.0979
296 1047 55184.5484
297 538 16352.3578
<precedence relations>
1,2
2,3
3,4
4,5
4,22
4,26
4,27
4,40
4,48
4,56
4,83
4,86
4,94
4,105
4,109
4,111
4,134
4,221
4,247
4,259
5,6
6,7
6,8
6,9
6,10
7,11
7,12
7,13
7,14
7,15
7,20
8,11
8,12
8,13
8,14
8,15
8,20
9,11
9,12
9,13
9,14
9,15
9,20
10,11
10,12
10,13
10,14
10,15
10,20
11,16
12,17
13,18
14,19
15,21
16,23
17,23
18,23
19,23
20,23
21,23
22,24
22,25
23,28
24,29
25,29
26,30
27,31
28,32
28,37
29,33
29,44
29,121
30,34
30,297
31,34
31,82
31,172
31,179
32,36
33,38
34,35
35,42
36,39
37,39
38,41
39,43
40,44
40,84
40,97
41,45
42,46
43,47
44,49
45,50
46,51
46,138
47,52
48,52
49,53
50,54
51,55
51,81
52,57
53,58
54,58
54,296
55,59
56,60
56,61
57,62
57,63
57,71
57,76
58,64
59,64
59,99
59,100
60,68
61,65
62,66
63,67
64,72
65,69
66,69
67,70
68,73
69,74
70,75
71,77
72,78
73,84
73,97
74,84
74,97
75,84
75,97
76,84
76,97
77,84
77,97
78,79
78,80
78,125
78,192
79,85
80,85
81,87
82,88
82,89
83,90
84,91
85,92
86,93
87,99
87,100
88,99
88,100
89,99
89,100
90,95
91,96
92,98
93,98
94,101
95,101
96,101
97,101
98,102
99,103
100,104
101,106
102,107
103,108
104,108
105,110
106,112
107,113
108,114
108,115
108,292
109,119
109,120
110,119
110,120
110,162
111,116
112,117
113,118
114,119
115,120
116,122
117,123
117,124
117,257
118,126
119,127
120,127
120,150
121,128
122,129
123,130
123,145
123,146
123,147
123,148
123,149
124,130
125,130
126,130
127,130
127,157
128,130
129,130
129,141
130,131
130,144
131,132
131,133
132,135
133,135
133,170
134,136
135,137
136,139
137,140
138,140
138,191
139,142
139,253
140,143
140,200
141,151
142,152
143,153
143,169
144,154
145,155
146,156
147,158
148,159
149,160
150,161
151,163
152,164
153,165
154,166
155,166
156,166
157,166
158,166
159,166
160,166
161,166
162,167
163,166
164,167
165,168
165,176
166,170
167,171
168,173
169,174
170,174
171,174
172,175
173,177
174,178
174,287
174,288
175,180
176,181
177,181
178,181
179,181
180,181
180,252
181,182
181,183
181,184
181,185
181,186
181,187
181,188
181,189
