<number of tasks>
148
<cycle time>
626
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 26.1374
2 30 172.5882
3 7 9.2682
4 47 31.0464
5 29 31.2944
6 8 9.1306
7 39 258.8432
8 37 262.9738
9 32 64.9894
10 29 163.7989
11 17 32.9577
12 11 5.1748
13 32 228.6384
14 15 10.9922
15 53 472.3687
16 53 82.4286
17 8 14.0642
18 24 112.9505
19 24 90.8476
20 8 13.8971
21 7 4.2336
22 8 4.1813
23 14 9.9500
24 13 32.6123
25 10 23.6615
26 25 60.6148
27 11 4.7626
28 25 136.5468
29 11 30.1253
30 29 173.3149
31 25 61.4570
32 10 18.8561
33 14 5.6007
34 41 280.4069
35 42 143.4726
36 47 244.7341
37 7 2.1817
38 80 1502.8392
39 7 2.3452
40 41 411.2242
41 47 547.5115
42 16 59.7284
43 32 245.1280
44 66 876.7926
45 80 656.8358
46 7 9.2401
47 41 376.4890
48 13 39.9810
49 47 303.7044
50 33 224.3165
51 34 230.4573
52 11 17.8574
53 118 3211.2691
54 25 144.4425
55 7 8.2134
56 28 113.0182
57 12 2.0671
58 52 201.4708
59 14 11.0128
60 3 1.4252
61 3 1.2722
62 8 5.2155
63 16 38.5393
64 33 47.0781
65 8 3.2985
66 18 55.6478
67 10 21.6245
68 14 21.9611
69 28 34.7149
70 11 8.8048
71 118 705.8075
72 25 10.0756
73 40 255.4042
74 40 352.7331
75 101 1435.8526
76 5 3.0466
77 28 141.7517
78 8 15.1252
79 281 9257.4355
80 7 12.2029
81 26 9.7737
82 10 20.3138
83 21 96.1118
84 26 66.9385
85 20 42.5081
86 21 56.4162
87 47 11.3136
88 23 97.1128
89 13 35.4895
90 19 51.1774
91 115 1511.3630
92 35 135.0680
93 26 142.7772
94 46 352.8841
95 20 6.7486
96 31 44.7172
97 19 59.1578
98 34 105.4065
99 51 402.9273
100 39 282.3361
101 30 81.0071
102 26 64.3392
103 13 1.3068
104 45 73.0406
105 58 486.3118
106 28 110.5526
107 8 12.4893
108 383 12681.2972
109 40 78.4308
110 34 97.2046
111 23 72.5686
112 162 5416.5770
113 11 20.4706
114 19 46.3628
115 14 19.9412
116 31 99.1225
117 32 209.2365
118 26 28.6588
119 55 530.8015
120 31 9.7670
121 32 65.7818
122 26 79.1170
123 19 26.2046
124 14 39.3320
125 19 40.7717
126 48 21.6824
127 55 669.1011
128 8 8.8780
129 11 12.2417
130 27 79.8186
131 18 30.8682
132 36 246.1329
133 23 44.3537
134 20 17.4953
135 46 119.4918
136 64 601.8352
137 22 62.7427
138 15 18.8492
139 34 249.7023
140 22 56.1254
141 151 2786.3145
142 148 1137.0784
143 64 617.8232
144 170 2518.2734
145 137 1482.9525
146 64 584.4625
147 78 1124.6503
148 78 839.0620
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
