<number of tasks>
50
<cycle time>
1000
<order strength>
0.598
<z_alpha>
1.280
<task times>
1 40 365.6486
2 171 3120.3020
3 97 624.7133
4 261 11754.8504
5 254 13654.0970
6 32 88.2125
7 214 2085.9358
8 180 1755.1200
9 79 1128.6319
10 32 225.2444
11 123 964.7105
12 64 35.3731
13 183 1344.1698
14 184 835.6988
15 48 344.5609
16 21 35.6701
17 190 1530.5427
18 54 98.6530
19 311 22361.4566
20 91 933.8582
21 123 2874.5665
22 322 21022.8520
23 199 2456.0712
24 150 2388.8996
25 29 66.0674
26 58 355.6187
27 79 1452.4702
28 398 37432.1856
29 314 6564.3643
30 163 6100.8212
31 180 2779.6349
32 111 105.1929
33 178 3672.3111
34 180 979.6559
35 237 12232.9868
36 150 2461.7616
37 45 380.0061
38 259 16526.2497
39 149 910.0630
40 121 788.1150
41 95 1878.1523
42 54 495.5078
43 136 4533.2486
44 246 2049.0481
45 336 18958.3266
46 47 443.9188
47 43 268.0722
48 169 2301.7911
49 168 426.2266
50 23 34.7330
<precedence relations>
1,7
2,4
2,5
2,6
2,14
3,4
3,7
3,8
4,9
5,10
5,23
6,9
6,23
7,12
7,13
7,14
8,11
8,14
8,22
9,15
9,17
9,18
10,18
11,15
11,16
11,20
12,15
13,16
13,17
13,18
14,16
14,24
15,19
15,30
16,23
17,19
17,20
17,22
17,24
18,19
18,21
19,41
21,25
22,26
23,26
24,39
24,50
25,28
25,31
25,32
26,27
26,29
26,30
26,34
27,44
28,34
28,36
30,35
30,36
30,42
31,33
31,45
32,49
33,37
33,38
33,42
34,37
34,39
34,44
35,37
35,38
35,40
36,41
37,43
37,47
38,44
38,47
39,46
40,45
40,49
41,48
42,47
43,49
45,50
46,48
46,49
47,49
<end>
